"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,inner city - Gammelholm og Nyhavn,497,231,266
,,,,Christianshavn - Neden Vandet,293,160,133
,,,,Christianshavn - Oven Vandet,854,410,444
,,,,Christianshavn - Holmen og Refshaleøen,449,236,213
,,,,Østerbro - Nord/Komponistkvarteret,452,206,246
,,,,Østerbro - Svanemøllen Syd/Øst,1326,640,686
,,,,Østerbro - yearshusgade Nord,1395,692,703
,,,,Østerbro - yearshusgade Syd,1532,742,790
,,,,Østerbro - Rosenvænget,1203,602,601
,,,,Østerbro - Ny Ryvang,306,141,165
,,,,Østerbro - Nord,451,237,214
,,,,Østerbro - Nordhavn,612,299,313
,,,,Østerbro - Lyngbyvej Vest,592,285,307
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,1000,503,497
,,,,Østerbro - Fælled,1145,545,600
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,1918,910,1008
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,3039,1442,1597
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,2355,1056,1299
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,2650,1224,1426
,,,,Nørrebro - Haraldsgade-kvarteret,1654,761,893
,,,,Vesterbro - Vest,1297,650,647
,,,,Vesterbro - Central,3146,1476,1670
,,,,Vesterbro - Øst,1177,580,597
,,,,Vesterbro - Syd,474,254,220
,,,,Kgs. Enghave - Bavnehøj,766,359,407
,,,,Kgs. Enghave - Gl. Sydhavn,1984,935,1049
,,,,Kgs. Enghave - Holmene,1835,1006,829
,,,,Valby - Gl. Valby,1700,812,888
,,,,Valby - Syd,2518,1280,1238
,,,,Valby - Ålholm,1139,585,554
,,,,Valby - Valby Sydvest,2066,1024,1042
,,,,Valby - Vigerslev,740,370,370
,,,,Vanløse - Jyllingevej Kvarter,1051,568,483
,,,,Vanløse - Jernbane Allé Kvarter,1766,903,863
,,,,Vanløse - Sallingvej Kvarter,1079,527,552
,,,,Vanløse - Grøndals Park Kvarter,549,281,268
,,,,Brønshøj-Husum - Husum,1282,674,608
,,,,Brønshøj-Husum - Husum Nord,935,469,466
,,,,Brønshøj-Husum - Tingbjerg,578,271,307
,,,,Brønshøj-Husum - Brønshøj,988,498,490
,,,,Brønshøj-Husum - Bellahøj,399,197,202
,,,,Bispebjerg - Emdrup,482,266,216
,,,,Bispebjerg- Ryparken-Lundehus,698,353,345
,,,,Bispebjerg - Bispebjerg,676,320,356
,,,,Bispebjerg - Utterslev,627,305,322
,,,,Bispebjerg - Nordvest,4651,2221,2430
,,,,Amager Øst - Amagerbro Øst,3636,1686,1950
,,,,Amager Øst - Sundbyøster,1842,877,965
