"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,Vesterbro - Syd,75,38,37
,,,,Kgs. Enghave - Bavnehøj,229,132,97
,,,,Kgs. Enghave - Gl. Sydhavn,956,506,450
,,,,Kgs. Enghave - Holmene,389,209,180
,,,,Valby - Gl. Valby,301,148,153
,,,,Valby - Syd,989,528,461
,,,,Valby - Ålholm,384,199,185
,,,,Valby - Valby Sydvest,904,503,401
,,,,Valby - Vigerslev,487,260,227
,,,,Vanløse - Jyllingevej Kvarter,362,201,161
,,,,Vanløse - Jernbane Allé Kvarter,450,254,196
,,,,Vanløse - Sallingvej Kvarter,253,134,119
,,,,Vanløse - Grøndals Park Kvarter,140,73,67
,,,,Brønshøj-Husum - Husum,829,463,366
,,,,Brønshøj-Husum - Husum Nord,1274,681,593
,,,,Brønshøj-Husum - Tingbjerg,1022,528,494
,,,,Brønshøj-Husum - Brønshøj,155,88,67
,,,,Brønshøj-Husum - Bellahøj,581,306,275
,,,,Bispebjerg - Emdrup,197,113,84
,,,,Bispebjerg- Ryparken-Lundehus,474,249,225
,,,,Bispebjerg - Bispebjerg,360,208,152
,,,,Bispebjerg - Utterslev,519,282,237
,,,,Bispebjerg - Nordvest,1934,1069,865
,,,,Amager Øst - Amagerbro Øst,964,483,481
,,,,Amager Øst - Sundbyøster,316,159,157
,,,,Amager Øst - Villakvartererne,285,150,135
,,,,Amager Øst - Nordøstamager,206,101,105
,,,,Amager Vest - Amagerbro Vest,94,52,42
,,,,Amager Vest - Bryggen Syd,72,47,25
,,,,Amager Vest - Faste Batteri,59,28,31
,,,,Amager Vest - Gamle Bryggen,76,39,37
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),78,36,42
,,,,Amager Vest - Kolonihavekvarteret,219,112,107
,,,,Amager Vest - Sundbyvester,449,239,210
,,,,Amager Vest - Sundholmsvejs kvarteret,943,509,434
,,,,Amager Vest - Urbanplanen,550,294,256
,,,,Amager Vest - Ørestad City,492,256,236
,,,,Amager Vest - Ørestad Syd,477,258,219
,,,Upper secondary education programs and qualifying preparatory education courses,København in total,11079,5501,5578
,,,,district - inner city,377,198,179
,,,,district - Østerbro,737,332,405
,,,,district - Nørrebro,1631,782,849
,,,,district - Vesterbro/Kongens Enghave,1063,545,518
,,,,district - Valby,1264,630,634
,,,,district - Vanløse,548,293,255
,,,,district - Brønshøj-Husum,1395,674,721
,,,,district - Bispebjerg,1442,745,697
,,,,district - Amager Øst,828,384,444
,,,,district - Amager Vest,1676,840,836
,,,,local committee - inner city,289,145,144
,,,,local committee - Christianshavn,88,53,35
,,,,local committee - Østerbro,737,332,405
,,,,local committee - Nørrebro,1631,782,849
,,,,local committee - Vesterbro,417,219,198
,,,,local committee - Kgs. Enghave,646,326,320
,,,,local committee - Valby,1264,630,634
,,,,local committee - Vanløse,548,293,255
,,,,local committee - Brønshøj-Husum,1395,674,721
,,,,local committee - Bispebjerg,1442,745,697
,,,,local committee - Amager Øst,828,384,444
,,,,local committee - Amager Vest,1676,840,836
,,,,inner city - Middelalderbyen,71,36,35
,,,,inner city - Metropolzonen,22,10,12
,,,,inner city - Nansensgade-kvarteret,43,22,21
,,,,inner city - Øster Farimagsgade-kvarteret,27,12,15
,,,,inner city - Østerport,23,11,12
,,,,inner city - Frederiksstaden,83,41,42
,,,,inner city - Gammelholm og Nyhavn,20,13,7
,,,,Christianshavn - Neden Vandet,24,17,7
,,,,Christianshavn - Oven Vandet,33,21,12
,,,,Christianshavn - Holmen og Refshaleøen,31,15,16
,,,,Østerbro - Nord/Komponistkvarteret,17,5,12
,,,,Østerbro - Svanemøllen Syd/Øst,146,74,72
,,,,Østerbro - yearshusgade Nord,58,25,33
,,,,Østerbro - yearshusgade Syd,47,22,25
,,,,Østerbro - Rosenvænget,57,24,33
,,,,Østerbro - Ny Ryvang,97,39,58
,,,,Østerbro - Nord,33,14,19
,,,,Østerbro - Nordhavn,57,24,33
,,,,Østerbro - Lyngbyvej Vest,89,39,50
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,69,34,35
,,,,Østerbro - Fælled,67,32,35
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,320,164,156
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,286,130,156
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,256,126,130
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,394,192,202
,,,,Nørrebro - Haraldsgade-kvarteret,375,170,205
,,,,Vesterbro - Vest,118,56,62
,,,,Vesterbro - Central,186,97,89
,,,,Vesterbro - Øst,68,40,28
,,,,Vesterbro - Syd,45,26,19
,,,,Kgs. Enghave - Bavnehøj,90,43,47
,,,,Kgs. Enghave - Gl. Sydhavn,359,184,175
,,,,Kgs. Enghave - Holmene,197,99,98
,,,,Valby - Gl. Valby,123,57,66
,,,,Valby - Syd,413,207,206
,,,,Valby - Ålholm,162,75,87
,,,,Valby - Valby Sydvest,375,192,183
,,,,Valby - Vigerslev,191,99,92
,,,,Vanløse - Jyllingevej Kvarter,155,80,75
,,,,Vanløse - Jernbane Allé Kvarter,206,117,89
,,,,Vanløse - Sallingvej Kvarter,129,70,59
,,,,Vanløse - Grøndals Park Kvarter,58,26,32
,,,,Brønshøj-Husum - Husum,291,146,145
,,,,Brønshøj-Husum - Husum Nord,481,238,243
,,,,Brønshøj-Husum - Tingbjerg,351,154,197
,,,,Brønshøj-Husum - Brønshøj,80,39,41
,,,,Brønshøj-Husum - Bellahøj,192,97,95
,,,,Bispebjerg - Emdrup,93,59,34
,,,,Bispebjerg- Ryparken-Lundehus,185,83,102
,,,,Bispebjerg - Bispebjerg,157,81,76
,,,,Bispebjerg - Utterslev,195,99,96
,,,,Bispebjerg - Nordvest,812,423,389
,,,,Amager Øst - Amagerbro Øst,417,198,219
,,,,Amager Øst - Sundbyøster,151,69,82
,,,,Amager Øst - Villakvartererne,165,75,90
,,,,Amager Øst - Nordøstamager,95,42,53
,,,,Amager Vest - Amagerbro Vest,59,31,28
,,,,Amager Vest - Bryggen Syd,35,24,11
,,,,Amager Vest - Faste Batteri,57,26,31
,,,,Amager Vest - Gamle Bryggen,50,24,26
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),78,31,47
,,,,Amager Vest - Kolonihavekvarteret,148,74,74
,,,,Amager Vest - Sundbyvester,200,106,94
,,,,Amager Vest - Sundholmsvejs kvarteret,392,189,203
,,,,Amager Vest - Urbanplanen,181,87,94
,,,,Amager Vest - Ørestad City,230,114,116
,,,,Amager Vest - Ørestad Syd,246,134,112
,,,Vocational education and training programs and short-cycle higher education programs,København in total,17005,8385,8620
,,,,district - inner city,499,220,279
,,,,district - Østerbro,1164,537,627
,,,,district - Nørrebro,2143,1042,1101
,,,,district - Vesterbro/Kongens Enghave,1654,811,843
,,,,district - Valby,2218,1105,1113
,,,,district - Vanløse,881,417,464
,,,,district - Brønshøj-Husum,2533,1288,1245
,,,,district - Bispebjerg,2259,1202,1057
,,,,district - Amager Øst,1233,574,659
,,,,district - Amager Vest,2256,1070,1186
,,,,local committee - inner city,375,166,209
,,,,local committee - Christianshavn,124,54,70
,,,,local committee - Østerbro,1164,537,627
,,,,local committee - Nørrebro,2143,1042,1101
,,,,local committee - Vesterbro,680,324,356
,,,,local committee - Kgs. Enghave,974,487,487
,,,,local committee - Valby,2218,1105,1113
,,,,local committee - Vanløse,881,417,464
,,,,local committee - Brønshøj-Husum,2533,1288,1245
,,,,local committee - Bispebjerg,2259,1202,1057
,,,,local committee - Amager Øst,1233,574,659
,,,,local committee - Amager Vest,2256,1070,1186
,,,,inner city - Middelalderbyen,75,45,30
,,,,inner city - Metropolzonen,39,20,19
,,,,inner city - Nansensgade-kvarteret,54,25,29
,,,,inner city - Øster Farimagsgade-kvarteret,59,24,35
,,,,inner city - Østerport,30,10,20
,,,,inner city - Frederiksstaden,89,31,58
,,,,inner city - Gammelholm og Nyhavn,29,11,18
,,,,Christianshavn - Neden Vandet,38,17,21
,,,,Christianshavn - Oven Vandet,62,28,34
,,,,Christianshavn - Holmen og Refshaleøen,24,9,15
,,,,Østerbro - Nord/Komponistkvarteret,34,15,19
,,,,Østerbro - Svanemøllen Syd/Øst,206,90,116
,,,,Østerbro - yearshusgade Nord,93,48,45
,,,,Østerbro - yearshusgade Syd,94,52,42
,,,,Østerbro - Rosenvænget,97,50,47
,,,,Østerbro - Ny Ryvang,205,99,106
,,,,Østerbro - Nord,62,24,38
,,,,Østerbro - Nordhavn,58,19,39
,,,,Østerbro - Lyngbyvej Vest,148,66,82
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,88,44,44
,,,,Østerbro - Fælled,79,30,49
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,487,229,258
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,398,178,220
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,346,172,174
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,468,227,241
,,,,Nørrebro - Haraldsgade-kvarteret,444,236,208
,,,,Vesterbro - Vest,209,91,118
,,,,Vesterbro - Central,320,152,168
,,,,Vesterbro - Øst,98,53,45
,,,,Vesterbro - Syd,53,28,25
,,,,Kgs. Enghave - Bavnehøj,119,65,54
,,,,Kgs. Enghave - Gl. Sydhavn,541,256,285
,,,,Kgs. Enghave - Holmene,314,166,148
,,,,Valby - Gl. Valby,219,102,117
,,,,Valby - Syd,639,310,329
,,,,Valby - Ålholm,222,109,113
,,,,Valby - Valby Sydvest,709,362,347
,,,,Valby - Vigerslev,429,222,207
,,,,Vanløse - Jyllingevej Kvarter,262,131,131
,,,,Vanløse - Jernbane Allé Kvarter,349,165,184
,,,,Vanløse - Sallingvej Kvarter,167,69,98
,,,,Vanløse - Grøndals Park Kvarter,103,52,51
,,,,Brønshøj-Husum - Husum,675,373,302
,,,,Brønshøj-Husum - Husum Nord,849,430,419
,,,,Brønshøj-Husum - Tingbjerg,537,271,266
,,,,Brønshøj-Husum - Brønshøj,172,78,94
,,,,Brønshøj-Husum - Bellahøj,300,136,164
,,,,Bispebjerg - Emdrup,121,59,62
,,,,Bispebjerg- Ryparken-Lundehus,297,133,164
,,,,Bispebjerg - Bispebjerg,259,156,103
,,,,Bispebjerg - Utterslev,354,179,175
,,,,Bispebjerg - Nordvest,1228,675,553
,,,,Amager Øst - Amagerbro Øst,564,257,307
,,,,Amager Øst - Sundbyøster,275,138,137
,,,,Amager Øst - Villakvartererne,224,101,123
,,,,Amager Øst - Nordøstamager,170,78,92
,,,,Amager Vest - Amagerbro Vest,81,33,48
,,,,Amager Vest - Bryggen Syd,60,28,32
,,,,Amager Vest - Faste Batteri,37,12,25
,,,,Amager Vest - Gamle Bryggen,82,41,41
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),41,16,25
,,,,Amager Vest - Kolonihavekvarteret,131,77,54
,,,,Amager Vest - Sundbyvester,304,152,152
,,,,Amager Vest - Sundholmsvejs kvarteret,527,235,292
,,,,Amager Vest - Urbanplanen,281,124,157
,,,,Amager Vest - Ørestad City,359,165,194
,,,,Amager Vest - Ørestad Syd,353,187,166
,,,Medium-cycle higher education programs and bachelor’s degree programs,København in total,20654,9171,11483
,,,,district - inner city,1101,455,646
,,,,district - Østerbro,1682,720,962
,,,,district - Nørrebro,1959,849,1110
,,,,district - Vesterbro/Kongens Enghave,2403,1089,1314
,,,,district - Valby,2509,1163,1346
,,,,district - Vanløse,911,398,513
,,,,district - Brønshøj-Husum,2055,919,1136
,,,,district - Bispebjerg,2102,935,1167
,,,,district - Amager Øst,1688,778,910
,,,,district - Amager Vest,4014,1743,2271
,,,,local committee - inner city,906,373,533
,,,,local committee - Christianshavn,195,82,113
,,,,local committee - Østerbro,1682,720,962
,,,,local committee - Nørrebro,1959,849,1110
,,,,local committee - Vesterbro,1022,450,572
,,,,local committee - Kgs. Enghave,1381,639,742
,,,,local committee - Valby,2509,1163,1346
,,,,local committee - Vanløse,911,398,513
,,,,local committee - Brønshøj-Husum,2055,919,1136
,,,,local committee - Bispebjerg,2102,935,1167
,,,,local committee - Amager Øst,1688,778,910
,,,,local committee - Amager Vest,4014,1743,2271
,,,,inner city - Middelalderbyen,229,109,120
,,,,inner city - Metropolzonen,103,52,51
,,,,inner city - Nansensgade-kvarteret,118,50,68
,,,,inner city - Øster Farimagsgade-kvarteret,113,43,70
,,,,inner city - Østerport,73,32,41
,,,,inner city - Frederiksstaden,204,57,147
,,,,inner city - Gammelholm og Nyhavn,66,30,36
,,,,Christianshavn - Neden Vandet,58,23,35
,,,,Christianshavn - Oven Vandet,84,33,51
,,,,Christianshavn - Holmen og Refshaleøen,53,26,27
,,,,Østerbro - Nord/Komponistkvarteret,33,12,21
,,,,Østerbro - Svanemøllen Syd/Øst,250,111,139
,,,,Østerbro - yearshusgade Nord,146,61,85
,,,,Østerbro - yearshusgade Syd,180,90,90
,,,,Østerbro - Rosenvænget,156,73,83
,,,,Østerbro - Ny Ryvang,120,56,64
,,,,Østerbro - Nord,128,34,94
,,,,Østerbro - Nordhavn,193,73,120
,,,,Østerbro - Lyngbyvej Vest,200,89,111
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,132,59,73
,,,,Østerbro - Fælled,144,62,82
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,410,191,219
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,391,157,234
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,321,153,168
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,467,199,268
,,,,Nørrebro - Haraldsgade-kvarteret,370,149,221
,,,,Vesterbro - Vest,257,106,151
,,,,Vesterbro - Central,349,148,201
,,,,Vesterbro - Øst,187,89,98
,,,,Vesterbro - Syd,229,107,122
,,,,Kgs. Enghave - Bavnehøj,93,41,52
,,,,Kgs. Enghave - Gl. Sydhavn,465,199,266
,,,,Kgs. Enghave - Holmene,823,399,424
,,,,Valby - Gl. Valby,289,133,156
,,,,Valby - Syd,780,355,425
,,,,Valby - Ålholm,217,92,125
,,,,Valby - Valby Sydvest,867,416,451
,,,,Valby - Vigerslev,356,167,189
,,,,Vanløse - Jyllingevej Kvarter,276,123,153
,,,,Vanløse - Jernbane Allé Kvarter,353,158,195
,,,,Vanløse - Sallingvej Kvarter,198,83,115
,,,,Vanløse - Grøndals Park Kvarter,84,34,50
,,,,Brønshøj-Husum - Husum,568,280,288
,,,,Brønshøj-Husum - Husum Nord,612,259,353
,,,,Brønshøj-Husum - Tingbjerg,449,193,256
,,,,Brønshøj-Husum - Brønshøj,184,81,103
,,,,Brønshøj-Husum - Bellahøj,242,106,136
,,,,Bispebjerg - Emdrup,90,38,52
,,,,Bispebjerg- Ryparken-Lundehus,274,114,160
,,,,Bispebjerg - Bispebjerg,205,95,110
,,,,Bispebjerg - Utterslev,287,126,161
,,,,Bispebjerg - Nordvest,1246,562,684
,,,,Amager Øst - Amagerbro Øst,607,278,329
,,,,Amager Øst - Sundbyøster,293,136,157
,,,,Amager Øst - Villakvartererne,400,189,211
,,,,Amager Øst - Nordøstamager,388,175,213
,,,,Amager Vest - Amagerbro Vest,102,44,58
,,,,Amager Vest - Bryggen Syd,124,45,79
,,,,Amager Vest - Faste Batteri,200,91,109
,,,,Amager Vest - Gamle Bryggen,144,62,82
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),166,74,92
,,,,Amager Vest - Kolonihavekvarteret,339,143,196
,,,,Amager Vest - Sundbyvester,348,161,187
,,,,Amager Vest - Sundholmsvejs kvarteret,517,225,292
,,,,Amager Vest - Urbanplanen,173,73,100
,,,,Amager Vest - Ørestad City,973,420,553
,,,,Amager Vest - Ørestad Syd,928,405,523
,,,Long-cycle higher education programs and PhD and research degree programs,København in total,18059,8511,9548
,,,,district - inner city,1175,532,643
,,,,district - Østerbro,2025,911,1114
,,,,district - Nørrebro,1644,745,899
,,,,district - Vesterbro/Kongens Enghave,2627,1171,1456
,,,,district - Valby,1928,909,1019
,,,,district - Vanløse,852,400,452
,,,,district - Brønshøj-Husum,1271,729,542
,,,,district - Bispebjerg,1590,809,781
,,,,district - Amager Øst,1502,686,816
,,,,district - Amager Vest,3267,1507,1760
,,,,local committee - inner city,938,428,510
,,,,local committee - Christianshavn,237,104,133
,,,,local committee - Østerbro,2025,911,1114
,,,,local committee - Nørrebro,1644,745,899
,,,,local committee - Vesterbro,1201,529,672
,,,,local committee - Kgs. Enghave,1426,642,784
,,,,local committee - Valby,1928,909,1019
,,,,local committee - Vanløse,852,400,452
,,,,local committee - Brønshøj-Husum,1271,729,542
,,,,local committee - Bispebjerg,1590,809,781
,,,,local committee - Amager Øst,1502,686,816
,,,,local committee - Amager Vest,3267,1507,1760
,,,,inner city - Middelalderbyen,195,94,101
,,,,inner city - Metropolzonen,64,33,31
,,,,inner city - Nansensgade-kvarteret,125,60,65
,,,,inner city - Øster Farimagsgade-kvarteret,167,77,90
,,,,inner city - Østerport,102,46,56
,,,,inner city - Frederiksstaden,202,93,109
,,,,inner city - Gammelholm og Nyhavn,83,25,58
,,,,Christianshavn - Neden Vandet,75,31,44
,,,,Christianshavn - Oven Vandet,104,49,55
,,,,Christianshavn - Holmen og Refshaleøen,58,24,34
,,,,Østerbro - Nord/Komponistkvarteret,69,37,32
,,,,Østerbro - Svanemøllen Syd/Øst,273,133,140
,,,,Østerbro - yearshusgade Nord,168,69,99
,,,,Østerbro - yearshusgade Syd,191,95,96
,,,,Østerbro - Rosenvænget,179,81,98
,,,,Østerbro - Ny Ryvang,104,48,56
,,,,Østerbro - Nord,149,59,90
,,,,Østerbro - Nordhavn,383,158,225
,,,,Østerbro - Lyngbyvej Vest,143,64,79
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,211,97,114
,,,,Østerbro - Fælled,155,70,85
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,324,155,169
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,345,130,215
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,304,141,163
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,398,198,200
,,,,Nørrebro - Haraldsgade-kvarteret,273,121,152
,,,,Vesterbro - Vest,382,146,236
,,,,Vesterbro - Central,305,132,173
,,,,Vesterbro - Øst,186,90,96
,,,,Vesterbro - Syd,328,161,167
,,,,Kgs. Enghave - Bavnehøj,90,42,48
,,,,Kgs. Enghave - Gl. Sydhavn,340,133,207
,,,,Kgs. Enghave - Holmene,996,467,529
,,,,Valby - Gl. Valby,231,106,125
,,,,Valby - Syd,760,332,428
,,,,Valby - Ålholm,192,98,94
,,,,Valby - Valby Sydvest,554,276,278
,,,,Valby - Vigerslev,191,97,94
,,,,Vanløse - Jyllingevej Kvarter,222,101,121
,,,,Vanløse - Jernbane Allé Kvarter,325,154,171
,,,,Vanløse - Sallingvej Kvarter,230,107,123
,,,,Vanløse - Grøndals Park Kvarter,75,38,37
,,,,Brønshøj-Husum - Husum,366,198,168
,,,,Brønshøj-Husum - Husum Nord,391,238,153
,,,,Brønshøj-Husum - Tingbjerg,270,173,97
,,,,Brønshøj-Husum - Brønshøj,126,70,56
,,,,Brønshøj-Husum - Bellahøj,118,50,68
,,,,Bispebjerg - Emdrup,98,54,44
,,,,Bispebjerg- Ryparken-Lundehus,240,120,120
,,,,Bispebjerg - Bispebjerg,147,78,69
,,,,Bispebjerg - Utterslev,161,81,80
,,,,Bispebjerg - Nordvest,944,476,468
,,,,Amager Øst - Amagerbro Øst,475,226,249
,,,,Amager Øst - Sundbyøster,218,102,116
,,,,Amager Øst - Villakvartererne,302,143,159
,,,,Amager Øst - Nordøstamager,507,215,292
,,,,Amager Vest - Amagerbro Vest,88,36,52
,,,,Amager Vest - Bryggen Syd,193,83,110
,,,,Amager Vest - Faste Batteri,191,86,105
,,,,Amager Vest - Gamle Bryggen,131,67,64
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),137,55,82
,,,,Amager Vest - Kolonihavekvarteret,122,56,66
,,,,Amager Vest - Sundbyvester,212,105,107
,,,,Amager Vest - Sundholmsvejs kvarteret,296,139,157
,,,,Amager Vest - Urbanplanen,98,42,56
,,,,Amager Vest - Ørestad City,935,455,480
,,,,Amager Vest - Ørestad Syd,864,383,481
,15-34 years,Ethnicity in total,"Primary and lower secondary school, and unspecified etc.",København in total,47523,26143,21380
,,,,district - inner city,3622,1915,1707
,,,,district - Østerbro,5280,2920,2360
,,,,district - Nørrebro,5334,2845,2489
,,,,district - Vesterbro/Kongens Enghave,5377,2841,2536
,,,,district - Valby,5153,2917,2236
,,,,district - Vanløse,3138,1734,1404
,,,,district - Brønshøj-Husum,4155,2310,1845
,,,,district - Bispebjerg,3829,2141,1688
,,,,district - Amager Øst,4338,2379,1959
,,,,district - Amager Vest,6649,3611,3038
,,,,local committee - inner city,2775,1467,1308
,,,,local committee - Christianshavn,847,448,399
,,,,local committee - Østerbro,5280,2920,2360
,,,,local committee - Nørrebro,5334,2845,2489
,,,,local committee - Vesterbro,3045,1606,1439
,,,,local committee - Kgs. Enghave,2332,1235,1097
,,,,local committee - Valby,5153,2917,2236
,,,,local committee - Vanløse,3138,1734,1404
,,,,local committee - Brønshøj-Husum,4155,2310,1845
,,,,local committee - Bispebjerg,3829,2141,1688
,,,,local committee - Amager Øst,4338,2379,1959
,,,,local committee - Amager Vest,6649,3611,3038
,,,,inner city - Middelalderbyen,540,300,240
,,,,inner city - Metropolzonen,169,76,93
,,,,inner city - Nansensgade-kvarteret,465,243,222
,,,,inner city - Øster Farimagsgade-kvarteret,512,252,260
,,,,inner city - Østerport,286,153,133
,,,,inner city - Frederiksstaden,595,341,254
,,,,inner city - Gammelholm og Nyhavn,208,102,106
,,,,Christianshavn - Neden Vandet,190,101,89
,,,,Christianshavn - Oven Vandet,432,228,204
,,,,Christianshavn - Holmen og Refshaleøen,225,119,106
,,,,Østerbro - Nord/Komponistkvarteret,253,142,111
,,,,Østerbro - Svanemøllen Syd/Øst,681,395,286
,,,,Østerbro - yearshusgade Nord,486,263,223
,,,,Østerbro - yearshusgade Syd,795,445,350
,,,,Østerbro - Rosenvænget,718,382,336
,,,,Østerbro - Ny Ryvang,345,203,142
,,,,Østerbro - Nord,340,175,165
,,,,Østerbro - Nordhavn,368,193,175
,,,,Østerbro - Lyngbyvej Vest,309,171,138
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,421,233,188
,,,,Østerbro - Fælled,564,318,246
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,1129,622,507
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,1317,685,632
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,1052,557,495
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,1023,564,459
,,,,Nørrebro - Haraldsgade-kvarteret,813,417,396
,,,,Vesterbro - Vest,736,378,358
,,,,Vesterbro - Central,1534,823,711
,,,,Vesterbro - Øst,548,288,260
,,,,Vesterbro - Syd,227,117,110
,,,,Kgs. Enghave - Bavnehøj,220,118,102
,,,,Kgs. Enghave - Gl. Sydhavn,1138,606,532
,,,,Kgs. Enghave - Holmene,974,511,463
,,,,Valby - Gl. Valby,848,452,396
,,,,Valby - Syd,1678,940,738
,,,,Valby - Ålholm,806,473,333
,,,,Valby - Valby Sydvest,1202,673,529
,,,,Valby - Vigerslev,619,379,240
,,,,Vanløse - Jyllingevej Kvarter,1088,596,492
,,,,Vanløse - Jernbane Allé Kvarter,977,538,439
,,,,Vanløse - Sallingvej Kvarter,695,392,303
,,,,Vanløse - Grøndals Park Kvarter,378,208,170
,,,,Brønshøj-Husum - Husum,1413,777,636
,,,,Brønshøj-Husum - Husum Nord,936,552,384
,,,,Brønshøj-Husum - Tingbjerg,611,333,278
,,,,Brønshøj-Husum - Brønshøj,785,422,363
,,,,Brønshøj-Husum - Bellahøj,410,226,184
,,,,Bispebjerg - Emdrup,349,193,156
,,,,Bispebjerg- Ryparken-Lundehus,548,298,250
,,,,Bispebjerg - Bispebjerg,463,253,210
,,,,Bispebjerg - Utterslev,449,259,190
,,,,Bispebjerg - Nordvest,2020,1138,882
,,,,Amager Øst - Amagerbro Øst,1704,919,785
,,,,Amager Øst - Sundbyøster,858,476,382
,,,,Amager Øst - Villakvartererne,1253,696,557
,,,,Amager Øst - Nordøstamager,523,288,235
,,,,Amager Vest - Amagerbro Vest,408,223,185
,,,,Amager Vest - Bryggen Syd,325,184,141
,,,,Amager Vest - Faste Batteri,256,124,132
,,,,Amager Vest - Gamle Bryggen,461,249,212
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),234,121,113
,,,,Amager Vest - Kolonihavekvarteret,487,279,208
,,,,Amager Vest - Sundbyvester,1132,594,538
,,,,Amager Vest - Sundholmsvejs kvarteret,1057,608,449
,,,,Amager Vest - Urbanplanen,464,253,211
,,,,Amager Vest - Ørestad City,797,404,393
,,,,Amager Vest - Ørestad Syd,1028,572,456
,,,Upper secondary education programs and qualifying preparatory education courses,København in total,65088,29943,35145
,,,,district - inner city,6216,2840,3376
,,,,district - Østerbro,7652,3557,4095
,,,,district - Nørrebro,9345,4076,5269
,,,,district - Vesterbro/Kongens Enghave,8204,3799,4405
,,,,district - Valby,6587,3151,3436
,,,,district - Vanløse,3325,1612,1713
,,,,district - Brønshøj-Husum,2943,1381,1562
,,,,district - Bispebjerg,5489,2460,3029
,,,,district - Amager Øst,6467,2923,3544
,,,,district - Amager Vest,8588,4008,4580
,,,,local committee - inner city,5053,2298,2755
,,,,local committee - Christianshavn,1163,542,621
,,,,local committee - Østerbro,7652,3557,4095
,,,,local committee - Nørrebro,9345,4076,5269
,,,,local committee - Vesterbro,4529,2022,2507
,,,,local committee - Kgs. Enghave,3675,1777,1898
,,,,local committee - Valby,6587,3151,3436
,,,,local committee - Vanløse,3325,1612,1713
,,,,local committee - Brønshøj-Husum,2943,1381,1562
,,,,local committee - Bispebjerg,5489,2460,3029
,,,,local committee - Amager Øst,6467,2923,3544
,,,,local committee - Amager Vest,8588,4008,4580
,,,,inner city - Middelalderbyen,1353,606,747
,,,,inner city - Metropolzonen,253,103,150
,,,,inner city - Nansensgade-kvarteret,751,352,399
,,,,inner city - Øster Farimagsgade-kvarteret,679,307,372
,,,,inner city - Østerport,377,176,201
,,,,inner city - Frederiksstaden,1291,605,686
,,,,inner city - Gammelholm og Nyhavn,349,149,200
,,,,Christianshavn - Neden Vandet,192,94,98
,,,,Christianshavn - Oven Vandet,613,277,336
,,,,Christianshavn - Holmen og Refshaleøen,358,171,187
,,,,Østerbro - Nord/Komponistkvarteret,351,150,201
,,,,Østerbro - Svanemøllen Syd/Øst,1024,471,553
,,,,Østerbro - yearshusgade Nord,1145,544,601
,,,,Østerbro - yearshusgade Syd,1175,546,629
,,,,Østerbro - Rosenvænget,895,426,469
,,,,Østerbro - Ny Ryvang,209,92,117
,,,,Østerbro - Nord,271,140,131
,,,,Østerbro - Nordhavn,426,193,233
,,,,Østerbro - Lyngbyvej Vest,462,211,251
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,809,388,421
,,,,Østerbro - Fælled,885,396,489
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,1464,663,801
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,2451,1105,1346
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,1879,754,1125
