Personer over 14 år efter tid, enhed, indkomsttype, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;Køn i alt;Mænd;Kvinder
;;;Lokaludvalg - Brønshøj-Husum;34783;17232;17551
;;;Lokaludvalg - Bispebjerg;46147;22779;23368
;;;Lokaludvalg - Amager Øst;52210;25337;26873
;;;Lokaludvalg - Amager Vest;71710;35457;36253
;;;Lokaludvalg - Uden for inddeling;2525;1816;709
;;;Indre By - Middelalderbyen;7295;3634;3661
;;;Indre By - Metropolzonen;2377;1179;1198
;;;Indre By - Nansensgade-kvarteret;5614;2708;2906
;;;Indre By - Øster Farimagsgade-kvarteret;6009;2815;3194
;;;Indre By - Østerport;3731;1769;1962
;;;Indre By - Frederiksstaden;8525;4141;4384
;;;Indre By - Gammelholm og Nyhavn;2777;1334;1443
;;;Christianshavn - Neden Vandet;2700;1321;1379
;;;Christianshavn - Oven Vandet;5766;2717;3049
;;;Christianshavn - Holmen og Refshaleøen;2729;1326;1403
;;;Østerbro - Nord/Komponistkvarteret;2982;1391;1591
;;;Østerbro - Svanemøllen Syd/Øst;9039;4348;4691
;;;Østerbro - Århusgade Nord;8056;3841;4215
;;;Østerbro - Århusgade Syd;9968;4737;5231
;;;Østerbro - Rosenvænget;8295;3933;4362
;;;Østerbro - Ny Ryvang;2636;1291;1345
;;;Østerbro - Nord;4074;1797;2277
;;;Østerbro - Nordhavn;5011;2550;2461
;;;Østerbro - Lyngbyvej Vest;4409;2131;2278
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;6209;2981;3228
;;;Østerbro - Fælled;7156;3245;3911
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;12075;5704;6371
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;16484;7686;8798
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;14791;6944;7847
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;14368;6886;7482
;;;Nørrebro - Haraldsgade-kvarteret;8631;3998;4633
;;;Vesterbro - Vest;9799;4711;5088
;;;Vesterbro - Central;19018;9143;9875
;;;Vesterbro - Øst;6431;3197;3234
;;;Vesterbro - Syd;3899;2076;1823
;;;Kgs. Enghave - Bavnehøj;3525;1753;1772
;;;Kgs. Enghave - Gl. Sydhavn;12032;5854;6178
;;;Kgs. Enghave - Holmene;13363;6967;6396
;;;Valby - Gl. Valby;10409;5032;5377
;;;Valby - Syd;17299;8513;8786
;;;Valby - Ålholm;8086;3986;4100
;;;Valby - Valby Sydvest;11941;5993;5948
;;;Valby - Vigerslev;5888;3008;2880
;;;Vanløse - Jyllingevej Kvarter;9444;4654;4790
;;;Vanløse - Jernbane Allé Kvarter;12051;5840;6211
;;;Vanløse - Sallingvej Kvarter;8004;3931;4073
;;;Vanløse - Grøndals Park Kvarter;4331;2108;2223
;;;Brønshøj-Husum - Husum;12539;6337;6202
;;;Brønshøj-Husum - Husum Nord;6963;3447;3516
;;;Brønshøj-Husum - Tingbjerg;3841;1836;2005
;;;Brønshøj-Husum - Brønshøj;8364;4091;4273
;;;Brønshøj-Husum - Bellahøj;3076;1521;1555
