Personer over 14 år efter tid, enhed, indkomsttype, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;Køn i alt;Mænd;Kvinder
;;;Lokaludvalg - Vesterbro;15985730;8796725;7189006
;;;Lokaludvalg - Kgs. Enghave;9814448;5605072;4209376
;;;Lokaludvalg - Valby;17763017;9830083;7932934
;;;Lokaludvalg - Vanløse;11506572;6307105;5199467
;;;Lokaludvalg - Brønshøj-Husum;10268883;5743671;4525211
;;;Lokaludvalg - Bispebjerg;12793326;6911806;5881520
;;;Lokaludvalg - Amager Øst;17771736;9841415;7930321
;;;Lokaludvalg - Amager Vest;25511325;14515659;10995666
;;;Lokaludvalg - Uden for inddeling;396766;263808;132958
;;;Indre By - Middelalderbyen;3011510;1802195;1209315
;;;Indre By - Metropolzonen;1025134;657821;367313
;;;Indre By - Nansensgade-kvarteret;2131524;1182960;948564
;;;Indre By - Øster Farimagsgade-kvarteret;2787522;1606201;1181321
;;;Indre By - Østerport;1783212;1102812;680400
;;;Indre By - Frederiksstaden;3658864;2273138;1385725
;;;Indre By - Gammelholm og Nyhavn;1196786;741358;455428
;;;Christianshavn - Neden Vandet;1078853;639568;439285
;;;Christianshavn - Oven Vandet;1669780;872512;797269
;;;Christianshavn - Holmen og Refshaleøen;1234963;737273;497689
;;;Østerbro - Nord/Komponistkvarteret;1288424;708119;580306
;;;Østerbro - Svanemøllen Syd/Øst;2782681;1508456;1274226
;;;Østerbro - Århusgade Nord;2929853;1510581;1419272
;;;Østerbro - Århusgade Syd;3994540;2179622;1814919
;;;Østerbro - Rosenvænget;3292413;1748486;1543927
;;;Østerbro - Ny Ryvang;604338;345527;258810
;;;Østerbro - Nord;1997565;1205822;791743
;;;Østerbro - Nordhavn;3570970;2293133;1277838
;;;Østerbro - Lyngbyvej Vest;1424099;777626;646474
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;2162917;1180334;982583
;;;Østerbro - Fælled;2539564;1334453;1205111
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;3737280;1988295;1748984
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;4790170;2458255;2331915
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;4642097;2363286;2278811
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;4244651;2215962;2028689
;;;Nørrebro - Haraldsgade-kvarteret;2167293;1084036;1083257
;;;Vesterbro - Vest;4361655;2381664;1979991
;;;Vesterbro - Central;6908508;3648386;3260123
;;;Vesterbro - Øst;2446864;1359834;1087030
;;;Vesterbro - Syd;2268703;1406841;861862
;;;Kgs. Enghave - Bavnehøj;740296;390191;350105
;;;Kgs. Enghave - Gl. Sydhavn;2901168;1560689;1340479
;;;Kgs. Enghave - Holmene;6172984;3654192;2518792
;;;Valby - Gl. Valby;3633018;1970290;1662728
;;;Valby - Syd;5779880;3188819;2591061
;;;Valby - Ålholm;2784794;1543256;1241538
;;;Valby - Valby Sydvest;3866976;2167942;1699034
;;;Valby - Vigerslev;1698349;959775;738574
;;;Vanløse - Jyllingevej Kvarter;3522739;1947044;1575696
;;;Vanløse - Jernbane Allé Kvarter;3820502;2093671;1726831
;;;Vanløse - Sallingvej Kvarter;2753990;1506791;1247199
;;;Vanløse - Grøndals Park Kvarter;1409341;759600;649742
;;;Brønshøj-Husum - Husum;4083044;2312464;1770580
;;;Brønshøj-Husum - Husum Nord;1566612;875838;690774
;;;Brønshøj-Husum - Tingbjerg;733692;410927;322765
;;;Brønshøj-Husum - Brønshøj;3244999;1790566;1454432
;;;Brønshøj-Husum - Bellahøj;640537;353877;286660
;;;Bispebjerg - Emdrup;1037278;585483;451796
;;;Bispebjerg- Ryparken-Lundehus;1458938;797029;661909
;;;Bispebjerg - Bispebjerg;1396573;758319;638254
;;;Bispebjerg - Utterslev;1332753;711610;621143
;;;Bispebjerg - Nordvest;7567783;4059364;3508419
;;;Amager Øst - Amagerbro Øst;5878031;3134500;2743532
;;;Amager Øst - Sundbyøster;3936281;2157163;1779118
;;;Amager Øst - Villakvartererne;4490536;2533042;1957495
;;;Amager Øst - Nordøstamager;3466887;2016711;1450177
;;;Amager Vest - Amagerbro Vest;1995405;1054863;940541
;;;Amager Vest - Bryggen Syd;2777584;1725089;1052496
;;;Amager Vest - Faste Batteri;1634773;941966;692807
;;;Amager Vest - Gamle Bryggen;2457065;1326011;1131054
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);913692;508745;404946
;;;Amager Vest - Kolonihavekvarteret;1339165;739384;599781
;;;Amager Vest - Sundbyvester;3613052;2022182;1590870
;;;Amager Vest - Sundholmsvejs kvarteret;2434252;1277371;1156882
;;;Amager Vest - Urbanplanen;744830;393737;351094
;;;Amager Vest - Ørestad City;3446765;2074173;1372593
;;;Amager Vest - Ørestad Syd;4154741;2452137;1702603
;;Disponsible income;København i alt;163522254;87533909;75988345
;;;Bydel - Indre By;18529843;10426573;8103271
;;;Bydel - Østerbro;23294709;12425420;10869290
;;;Bydel - Nørrebro;16838937;8445049;8393888
;;;Bydel - Vesterbro/Kongens Enghave;20828024;11370875;9457149
;;;Bydel - Valby;15401437;8212377;7189061
;;;Bydel - Vanløse;10251632;5394027;4857605
;;;Bydel - Brønshøj-Husum;9664111;5106510;4557601
;;;Bydel - Bispebjerg;11472973;5972351;5500622
;;;Bydel - Amager Øst;15295088;8134591;7160497
;;;Bydel - Amager Vest;21542259;11771549;9770710
;;;Bydel - Uden for inddeling;403239;274588;128651
;;;Lokaludvalg - Indre By;14517222;8270436;6246786
;;;Lokaludvalg - Christianshavn;4012621;2156136;1856485
;;;Lokaludvalg - Østerbro;23294709;12425420;10869290
;;;Lokaludvalg - Nørrebro;16838937;8445049;8393888
;;;Lokaludvalg - Vesterbro;12649682;6886273;5763410
;;;Lokaludvalg - Kgs. Enghave;8178342;4484602;3693739
;;;Lokaludvalg - Valby;15401437;8212377;7189061
;;;Lokaludvalg - Vanløse;10251632;5394027;4857605
;;;Lokaludvalg - Brønshøj-Husum;9664111;5106510;4557601
;;;Lokaludvalg - Bispebjerg;11472973;5972351;5500622
;;;Lokaludvalg - Amager Øst;15295088;8134591;7160497
;;;Lokaludvalg - Amager Vest;21542259;11771549;9770710
;;;Lokaludvalg - Uden for inddeling;403239;274588;128651
;;;Indre By - Middelalderbyen;2631390;1526054;1105336
;;;Indre By - Metropolzonen;960057;568462;391594
;;;Indre By - Nansensgade-kvarteret;1746906;932559;814346
;;;Indre By - Øster Farimagsgade-kvarteret;2623101;1513329;1109772
;;;Indre By - Østerport;1764576;1024906;739670
;;;Indre By - Frederiksstaden;3684595;2049526;1635069
;;;Indre By - Gammelholm og Nyhavn;1106598;655600;450998
;;;Christianshavn - Neden Vandet;1263702;713086;550616
;;;Christianshavn - Oven Vandet;1638349;813291;825058
;;;Christianshavn - Holmen og Refshaleøen;1110571;629760;480811
;;;Østerbro - Nord/Komponistkvarteret;1137692;601750;535942
;;;Østerbro - Svanemøllen Syd/Øst;2475859;1268664;1207195
;;;Østerbro - Århusgade Nord;2425860;1209715;1216145
;;;Østerbro - Århusgade Syd;3315200;1749751;1565449
;;;Østerbro - Rosenvænget;2924048;1583560;1340488
;;;Østerbro - Ny Ryvang;635411;330948;304462
;;;Østerbro - Nord;2268460;1184963;1083497
;;;Østerbro - Nordhavn;2843647;1794690;1048957
;;;Østerbro - Lyngbyvej Vest;1266195;661396;604800
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;1771716;928920;842796
;;;Østerbro - Fælled;2230621;1111062;1119559
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;3258580;1678897;1579683
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;4252315;2133340;2118975
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;3814619;1887273;1927345
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;3563713;1804296;1759417
;;;Nørrebro - Haraldsgade-kvarteret;1949711;941243;1008468
;;;Vesterbro - Vest;3512538;1914609;1597929
;;;Vesterbro - Central;5441164;2821232;2619932
;;;Vesterbro - Øst;1914117;1037984;876133
;;;Vesterbro - Syd;1781863;1112448;669415
;;;Kgs. Enghave - Bavnehøj;753023;388066;364957
;;;Kgs. Enghave - Gl. Sydhavn;2806837;1429018;1377819
;;;Kgs. Enghave - Holmene;4618481;2667518;1950963
;;;Valby - Gl. Valby;3291434;1787640;1503794
;;;Valby - Syd;4864545;2558497;2306049
;;;Valby - Ålholm;2460706;1301634;1159072
;;;Valby - Valby Sydvest;3265895;1743323;1522571
;;;Valby - Vigerslev;1518857;821282;697575
;;;Vanløse - Jyllingevej Kvarter;3228743;1728584;1500159
;;;Vanløse - Jernbane Allé Kvarter;3422803;1778673;1644130
;;;Vanløse - Sallingvej Kvarter;2371304;1247718;1123586
;;;Vanløse - Grøndals Park Kvarter;1228783;639053;589730
;;;Brønshøj-Husum - Husum;3787966;2051754;1736213
;;;Brønshøj-Husum - Husum Nord;1575260;810098;765162
;;;Brønshøj-Husum - Tingbjerg;772601;389629;382972
;;;Brønshøj-Husum - Brønshøj;2862739;1509637;1353102
;;;Brønshøj-Husum - Bellahøj;665544;345393;320151
;;;Bispebjerg - Emdrup;1035800;563132;472668
;;;Bispebjerg- Ryparken-Lundehus;1418902;730445;688458
;;;Bispebjerg - Bispebjerg;1348667;697841;650826
;;;Bispebjerg - Utterslev;1214063;616905;597158
;;;Bispebjerg - Nordvest;6455541;3364028;3091513
;;;Amager Øst - Amagerbro Øst;5053667;2583339;2470328
;;;Amager Øst - Sundbyøster;3454189;1803006;1651183
;;;Amager Øst - Villakvartererne;3989084;2175327;1813757
;;;Amager Øst - Nordøstamager;2798149;1572920;1225229
;;;Amager Vest - Amagerbro Vest;1675355;853834;821521
;;;Amager Vest - Bryggen Syd;2292072;1414218;877854
;;;Amager Vest - Faste Batteri;1384537;767558;616979
;;;Amager Vest - Gamle Bryggen;1977201;1039109;938092
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);793424;423846;369579
;;;Amager Vest - Kolonihavekvarteret;1271486;670489;600997
;;;Amager Vest - Sundbyvester;3249281;1734217;1515063
;;;Amager Vest - Sundholmsvejs kvarteret;2259247;1127709;1131538
;;;Amager Vest - Urbanplanen;832839;401928;430911
;;;Amager Vest - Ørestad City;2617331;1524078;1093254
;;;Amager Vest - Ørestad Syd;3189486;1814564;1374922
;;Total personal income (excluding imputed rental value of owner-occupied housing and before deduction of interest expenses) i alt (ekskl. beregnet lejeværdi af egen bolig og før fradrag af renteudgifter);København i alt;240099803;130983917;109115887
;;;Bydel - Indre By;27602449;15954162;11648287
;;;Bydel - Østerbro;34685306;18936258;15749048
;;;Bydel - Nørrebro;24885520;12641158;12244362
;;;Bydel - Vesterbro/Kongens Enghave;31234909;17296601;13938307
;;;Bydel - Valby;22407563;12158696;10248866
;;;Bydel - Vanløse;14714749;7897486;6817264
;;;Bydel - Brønshøj-Husum;13617399;7346095;6271304
;;;Bydel - Bispebjerg;16667651;8788555;7879095
;;;Bydel - Amager Øst;22169713;12009675;10160039
;;;Bydel - Amager Vest;31550268;17567103;13983165
;;;Bydel - Uden for inddeling;564277;388127;176150
;;;Lokaludvalg - Indre By;21616910;12620654;8996255
;;;Lokaludvalg - Christianshavn;5985539;3333508;2652031
;;;Lokaludvalg - Østerbro;34685306;18936258;15749048
;;;Lokaludvalg - Nørrebro;24885520;12641158;12244362
;;;Lokaludvalg - Vesterbro;19204243;10592305;8611938
;;;Lokaludvalg - Kgs. Enghave;12030666;6704296;5326369
;;;Lokaludvalg - Valby;22407563;12158696;10248866
;;;Lokaludvalg - Vanløse;14714749;7897486;6817264
;;;Lokaludvalg - Brønshøj-Husum;13617399;7346095;6271304
;;;Lokaludvalg - Bispebjerg;16667651;8788555;7879095
;;;Lokaludvalg - Amager Øst;22169713;12009675;10160039
;;;Lokaludvalg - Amager Vest;31550268;17567103;13983165
;;;Lokaludvalg - Uden for inddeling;564277;388127;176150
;;;Indre By - Middelalderbyen;3865898;2269138;1596760
;;;Indre By - Metropolzonen;1405959;855158;550801
;;;Indre By - Nansensgade-kvarteret;2650589;1445885;1204704
;;;Indre By - Øster Farimagsgade-kvarteret;3825337;2288009;1537328
;;;Indre By - Østerport;2630605;1605585;1025020
;;;Indre By - Frederiksstaden;5583685;3148602;2435083
;;;Indre By - Gammelholm og Nyhavn;1654836;1008277;646559
;;;Christianshavn - Neden Vandet;1880220;1096473;783746
;;;Christianshavn - Oven Vandet;2378936;1216196;1162740
;;;Christianshavn - Holmen og Refshaleøen;1726383;1020838;705545
;;;Østerbro - Nord/Komponistkvarteret;1612099;873081;739018
;;;Østerbro - Svanemøllen Syd/Øst;3678951;1914350;1764600
;;;Østerbro - Århusgade Nord;3609493;1826332;1783161
;;;Østerbro - Århusgade Syd;4948321;2659535;2288786
;;;Østerbro - Rosenvænget;4332377;2400065;1932312
;;;Østerbro - Ny Ryvang;905429;478500;426930
;;;Østerbro - Nord;3380489;1846168;1534321
;;;Østerbro - Nordhavn;4401632;2868711;1532921
;;;Østerbro - Lyngbyvej Vest;1839835;975881;863954
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;2644614;1407561;1237054
;;;Østerbro - Fælled;3332066;1686075;1645991
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;4834138;2542722;2291417
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;6290064;3204552;3085513
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;5690986;2839246;2851741
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;5234137;2673381;2560756
;;;Nørrebro - Haraldsgade-kvarteret;2836194;1381257;1454936
;;;Vesterbro - Vest;5316765;2938785;2377980
;;;Vesterbro - Central;8257100;4331319;3925780
;;;Vesterbro - Øst;2897321;1592135;1305186
;;;Vesterbro - Syd;2733057;1730066;1002991
;;;Kgs. Enghave - Bavnehøj;1080140;559767;520372
;;;Kgs. Enghave - Gl. Sydhavn;3997978;2062216;1935763
;;;Kgs. Enghave - Holmene;6952548;4082313;2870234
;;;Valby - Gl. Valby;4829645;2671757;2157888
;;;Valby - Syd;7124287;3812008;3312279
;;;Valby - Ålholm;3524630;1897816;1626814
;;;Valby - Valby Sydvest;4752040;2581289;2170751
;;;Valby - Vigerslev;2176961;1195826;981135
;;;Vanløse - Jyllingevej Kvarter;4524290;2481723;2042567
;;;Vanløse - Jernbane Allé Kvarter;4943859;2625493;2318366
;;;Vanløse - Sallingvej Kvarter;3427663;1833491;1594172
;;;Vanløse - Grøndals Park Kvarter;1818938;956779;862159
;;;Brønshøj-Husum - Husum;5297937;2926912;2371025
;;;Brønshøj-Husum - Husum Nord;2226341;1163064;1063277
;;;Brønshøj-Husum - Tingbjerg;1088904;560182;528721
;;;Brønshøj-Husum - Brønshøj;4047994;2192652;1855341
;;;Brønshøj-Husum - Bellahøj;956224;503285;452939
;;;Bispebjerg - Emdrup;1456278;809346;646932
;;;Bispebjerg- Ryparken-Lundehus;2023150;1057863;965287
;;;Bispebjerg - Bispebjerg;1952193;1022755;929438
;;;Bispebjerg - Utterslev;1757219;904014;853205
;;;Bispebjerg - Nordvest;9478810;4994577;4484233
;;;Amager Øst - Amagerbro Øst;7393443;3825161;3568282
;;;Amager Øst - Sundbyøster;5004045;2658224;2345822
;;;Amager Øst - Villakvartererne;5636376;3153549;2482827
;;;Amager Øst - Nordøstamager;4135849;2372741;1763108
;;;Amager Vest - Amagerbro Vest;2483172;1287083;1196089
;;;Amager Vest - Bryggen Syd;3483441;2205748;1277693
;;;Amager Vest - Faste Batteri;2050995;1155294;895701
;;;Amager Vest - Gamle Bryggen;3003868;1602697;1401171
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);1143542;622588;520954
;;;Amager Vest - Kolonihavekvarteret;1734486;935364;799123
;;;Amager Vest - Sundbyvester;4583365;2497524;2085841
;;;Amager Vest - Sundholmsvejs kvarteret;3273119;1647014;1626105
;;;Amager Vest - Urbanplanen;1182687;584966;597721
;;;Amager Vest - Ørestad City;3877208;2296107;1581102
;;;Amager Vest - Ørestad Syd;4734384;2732720;2001665
;;Taxable income indkomst;København i alt;171701097;92337526;79363572
;;;Bydel - Indre By;18046225;10104295;7941931
;;;Bydel - Østerbro;23926669;12823160;11103509
;;;Bydel - Nørrebro;18404356;9249559;9154797
;;;Bydel - Vesterbro/Kongens Enghave;22321410;12173248;10148162
;;;Bydel - Valby;16306184;8761458;7544727
;;;Bydel - Vanløse;10757206;5732727;5024480
;;;Bydel - Brønshøj-Husum;10077057;5461443;4615613
;;;Bydel - Bispebjerg;12530017;6587567;5942451
;;;Bydel - Amager Øst;16067038;8600545;7466493
;;;Bydel - Amager Vest;22834268;12543765;10290503
;;;Bydel - Uden for inddeling;430667;299761;130907
;;;Lokaludvalg - Indre By;13994238;7867230;6127008
;;;Lokaludvalg - Christianshavn;4051987;2237065;1814922
;;;Lokaludvalg - Østerbro;23926669;12823160;11103509
;;;Lokaludvalg - Nørrebro;18404356;9249559;9154797
;;;Lokaludvalg - Vesterbro;13486753;7281063;6205690
;;;Lokaludvalg - Kgs. Enghave;8834657;4892185;3942472
;;;Lokaludvalg - Valby;16306184;8761458;7544727
;;;Lokaludvalg - Vanløse;10757206;5732727;5024480
;;;Lokaludvalg - Brønshøj-Husum;10077057;5461443;4615613
;;;Lokaludvalg - Bispebjerg;12530017;6587567;5942451
;;;Lokaludvalg - Amager Øst;16067038;8600545;7466493
;;;Lokaludvalg - Amager Vest;22834268;12543765;10290503
;;;Lokaludvalg - Uden for inddeling;430667;299761;130907
;;;Indre By - Middelalderbyen;2511529;1409858;1101671
;;;Indre By - Metropolzonen;943769;563803;379966
;;;Indre By - Nansensgade-kvarteret;1893812;1022218;871593
;;;Indre By - Øster Farimagsgade-kvarteret;2496634;1418873;1077761
;;;Indre By - Østerport;1604361;952926;651435
;;;Indre By - Frederiksstaden;3517141;1901650;1615490
;;;Indre By - Gammelholm og Nyhavn;1026993;597901;429092
;;;Christianshavn - Neden Vandet;1140689;666140;474548
;;;Christianshavn - Oven Vandet;1735275;875406;859869
;;;Christianshavn - Holmen og Refshaleøen;1176023;695518;480504
;;;Østerbro - Nord/Komponistkvarteret;1088832;581073;507759
;;;Østerbro - Svanemøllen Syd/Øst;2731142;1400269;1330872
;;;Østerbro - Århusgade Nord;2592141;1323284;1268857
;;;Østerbro - Århusgade Syd;3524887;1871315;1653572
;;;Østerbro - Rosenvænget;2913552;1537164;1376388
;;;Østerbro - Ny Ryvang;678392;352904;325489
;;;Østerbro - Nord;1882366;1063790;818576
;;;Østerbro - Nordhavn;2795537;1787377;1008160
;;;Østerbro - Lyngbyvej Vest;1345220;698239;646981
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;1953408;1025406;928002
;;;Østerbro - Fælled;2421194;1182340;1238854
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;3531594;1813665;1717929
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;4629253;2313370;2315883
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;4206585;2095637;2110948
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;3892896;1984636;1908260
;;;Nørrebro - Haraldsgade-kvarteret;2144027;1042250;1101777
;;;Vesterbro - Vest;3661602;1984617;1676985
;;;Vesterbro - Central;5957971;3080595;2877376
;;;Vesterbro - Øst;2079632;1124222;955410
;;;Vesterbro - Syd;1787548;1091628;695920
;;;Kgs. Enghave - Bavnehøj;829693;429973;399720
;;;Kgs. Enghave - Gl. Sydhavn;3039330;1570234;1469096
;;;Kgs. Enghave - Holmene;4965634;2891978;2073656
;;;Valby - Gl. Valby;3356076;1798707;1557370
;;;Valby - Syd;5243811;2781450;2462361
;;;Valby - Ålholm;2562279;1378141;1184138
;;;Valby - Valby Sydvest;3513761;1904654;1609107
;;;Valby - Vigerslev;1630257;898506;731751
;;;Vanløse - Jyllingevej Kvarter;3233488;1769878;1463609
;;;Vanløse - Jernbane Allé Kvarter;3638041;1904099;1733942
;;;Vanløse - Sallingvej Kvarter;2536846;1349534;1187312
;;;Vanløse - Grøndals Park Kvarter;1348832;709215;639617
;;;Brønshøj-Husum - Husum;3880609;2152532;1728078
;;;Brønshøj-Husum - Husum Nord;1685223;886172;799051
;;;Brønshøj-Husum - Tingbjerg;833685;429421;404264
;;;Brønshøj-Husum - Brønshøj;2939823;1606799;1333024
;;;Brønshøj-Husum - Bellahøj;737716;386520;351197
;;;Bispebjerg - Emdrup;1079301;595799;483501
;;;Bispebjerg- Ryparken-Lundehus;1499785;771725;728060
;;;Bispebjerg - Bispebjerg;1469966;768085;701881
;;;Bispebjerg - Utterslev;1316164;677543;638621
;;;Bispebjerg - Nordvest;7164803;3774415;3390387
;;;Amager Øst - Amagerbro Øst;5509347;2826630;2682717
;;;Amager Øst - Sundbyøster;3687175;1952009;1735166
;;;Amager Øst - Villakvartererne;3980746;2188023;1792724
;;;Amager Øst - Nordøstamager;2889769;1633883;1255886
;;;Amager Vest - Amagerbro Vest;1853657;956001;897656
;;;Amager Vest - Bryggen Syd;2220688;1355739;864949
;;;Amager Vest - Faste Batteri;1477976;826016;651961
;;;Amager Vest - Gamle Bryggen;2187333;1155315;1032018
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);838358;452275;386082
;;;Amager Vest - Kolonihavekvarteret;1270201;685705;584497
;;;Amager Vest - Sundbyvester;3305070;1791463;1513607
;;;Amager Vest - Sundholmsvejs kvarteret;2490903;1245401;1245502
;;;Amager Vest - Urbanplanen;937523;473689;463834
;;;Amager Vest - Ørestad City;2840728;1664897;1175831
;;;Amager Vest - Ørestad Syd;3411829;1937263;1474566
;;Equivalised disposable incomedisponibel indkomst;København i alt;186255100;93348422;92906678
;;;Bydel - Indre By;21479381;10807466;10671914
;;;Bydel - Østerbro;26839206;13217719;13621487
;;;Bydel - Nørrebro;18829036;9154617;9674419
;;;Bydel - Vesterbro/Kongens Enghave;23555728;12058904;11496824
;;;Bydel - Valby;17498892;8802618;8696274
;;;Bydel - Vanløse;11828700;5880339;5948361
;;;Bydel - Brønshøj-Husum;11102926;5548018;5554908
;;;Bydel - Bispebjerg;12803613;6418065;6385548
;;;Bydel - Amager Øst;17393530;8708017;8685513
;;;Bydel - Amager Vest;24509815;12476083;12033732
;;;Bydel - Uden for inddeling;414274;276576;137698
;;;Lokaludvalg - Indre By;16849290;8494468;8354822
;;;Lokaludvalg - Christianshavn;4630090;2312998;2317092
;;;Lokaludvalg - Østerbro;26839206;13217719;13621487
;;;Lokaludvalg - Nørrebro;18829036;9154617;9674419
;;;Lokaludvalg - Vesterbro;14377056;7325416;7051640
;;;Lokaludvalg - Kgs. Enghave;9178672;4733488;4445184
;;;Lokaludvalg - Valby;17498892;8802618;8696274
;;;Lokaludvalg - Vanløse;11828700;5880339;5948361
;;;Lokaludvalg - Brønshøj-Husum;11102926;5548018;5554908
;;;Lokaludvalg - Bispebjerg;12803613;6418065;6385548
;;;Lokaludvalg - Amager Øst;17393530;8708017;8685513
;;;Lokaludvalg - Amager Vest;24509815;12476083;12033732
;;;Lokaludvalg - Uden for inddeling;414274;276576;137698
;;;Indre By - Middelalderbyen;2995814;1609759;1386055
;;;Indre By - Metropolzonen;1125128;595844;529284
;;;Indre By - Nansensgade-kvarteret;2009385;1003688;1005697
;;;Indre By - Øster Farimagsgade-kvarteret;3097265;1536716;1560550
;;;Indre By - Østerport;2087550;1005528;1082022
;;;Indre By - Frederiksstaden;4245276;2069396;2175880
;;;Indre By - Gammelholm og Nyhavn;1288872;673538;615334
;;;Christianshavn - Neden Vandet;1492876;761875;731001
;;;Christianshavn - Oven Vandet;1855418;899002;956416
;;;Christianshavn - Holmen og Refshaleøen;1281796;652121;629675
;;;Østerbro - Nord/Komponistkvarteret;1329714;652676;677038
;;;Østerbro - Svanemøllen Syd/Øst;2771182;1365745;1405437
;;;Østerbro - Århusgade Nord;2742565;1323444;1419122
;;;Østerbro - Århusgade Syd;3869764;1896392;1973372
;;;Østerbro - Rosenvænget;3375386;1683641;1691746
;;;Østerbro - Ny Ryvang;706273;357757;348516
;;;Østerbro - Nord;2625026;1251014;1374011
;;;Østerbro - Nordhavn;3381459;1747008;1634451
;;;Østerbro - Lyngbyvej Vest;1427021;697602;729419
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;2020105;1006067;1014039
;;;Østerbro - Fælled;2590711;1236374;1354336
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;3684759;1809350;1875410
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;4737516;2311488;2426028
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;4266451;2044342;2222109
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;3967925;1957582;2010343
;;;Nørrebro - Haraldsgade-kvarteret;2172385;1031856;1140529
;;;Vesterbro - Vest;3974713;1988454;1986259
;;;Vesterbro - Central;6154494;3060309;3094185
;;;Vesterbro - Øst;2176640;1130619;1046021
;;;Vesterbro - Syd;2071209;1146034;925175
;;;Kgs. Enghave - Bavnehøj;820094;412660;407433
;;;Kgs. Enghave - Gl. Sydhavn;3096763;1532328;1564436
;;;Kgs. Enghave - Holmene;5261815;2788500;2473315
;;;Valby - Gl. Valby;3764065;1888391;1875674
;;;Valby - Syd;5498741;2743078;2755663
;;;Valby - Ålholm;2843127;1434779;1408348
;;;Valby - Valby Sydvest;3659238;1846848;1812390
;;;Valby - Vigerslev;1733722;889522;844200
;;;Vanløse - Jyllingevej Kvarter;3815234;1902130;1913104
;;;Vanløse - Jernbane Allé Kvarter;3889279;1921347;1967932
;;;Vanløse - Sallingvej Kvarter;2707403;1352662;1354740
;;;Vanløse - Grøndals Park Kvarter;1416785;704199;712585
;;;Brønshøj-Husum - Husum;4404106;2235098;2169008
;;;Brønshøj-Husum - Husum Nord;1767603;879363;888240
;;;Brønshøj-Husum - Tingbjerg;850487;409547;440940
;;;Brønshøj-Husum - Brønshøj;3330685;1649882;1680802
;;;Brønshøj-Husum - Bellahøj;750045;374128;375918
;;;Bispebjerg - Emdrup;1191056;603912;587144
;;;Bispebjerg- Ryparken-Lundehus;1610666;782981;827685
;;;Bispebjerg - Bispebjerg;1518102;751678;766423
;;;Bispebjerg - Utterslev;1362716;672360;690356
;;;Bispebjerg - Nordvest;7121073;3607134;3513940
;;;Amager Øst - Amagerbro Øst;5670901;2806412;2864490
;;;Amager Øst - Sundbyøster;3904647;1924597;1980051
;;;Amager Øst - Villakvartererne;4613662;2332597;2281065
;;;Amager Øst - Nordøstamager;3204319;1644412;1559907
;;;Amager Vest - Amagerbro Vest;1912126;933254;978872
;;;Amager Vest - Bryggen Syd;2652689;1391322;1261367
;;;Amager Vest - Faste Batteri;1592599;817554;775045
;;;Amager Vest - Gamle Bryggen;2274568;1146518;1128050
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);900065;454306;445760
;;;Amager Vest - Kolonihavekvarteret;1441412;725607;715805
;;;Amager Vest - Sundbyvester;3745443;1867586;1877857
;;;Amager Vest - Sundholmsvejs kvarteret;2530317;1245995;1284322
;;;Amager Vest - Urbanplanen;942645;447007;495639
;;;Amager Vest - Ørestad City;2957429;1585139;1372290
;;;Amager Vest - Ørestad Syd;3560523;1861797;1698726
;Average for all persons with the income (DKK);Business income/Earned income;København i alt;427069;476159;378190
;;;Bydel - Indre By;512772;613070;413971
;;;Bydel - Østerbro;486832;553392;423025
;;;Bydel - Nørrebro;358833;388795;331559
;;;Bydel - Vesterbro/Kongens Enghave;449113;500619;397447
;;;Bydel - Valby;408158;443756;371253
