Befolkningen efter tid, statsborgerskab, alder, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;all genders;Male;Female
;;;Lokaludvalg - Vanløse;2088;1077;1011
;;;Lokaludvalg - Brønshøj-Husum;2735;1411;1324
;;;Lokaludvalg - Bispebjerg;3067;1562;1505
;;;Lokaludvalg - Amager Øst;3512;1774;1738
;;;Lokaludvalg - Amager Vest;5361;2786;2575
;;;Lokaludvalg - Uden for inddeling;114;57;57
;;;Indre By - Middelalderbyen;238;117;121
;;;Indre By - Metropolzonen;127;62;65
;;;Indre By - Nansensgade-kvarteret;319;166;153
;;;Indre By - Øster Farimagsgade-kvarteret;359;181;178
;;;Indre By - Østerport;204;117;87
;;;Indre By - Frederiksstaden;420;211;209
;;;Indre By - Gammelholm og Nyhavn;144;74;70
;;;Christianshavn - Neden Vandet;148;84;64
;;;Christianshavn - Oven Vandet;291;145;146
;;;Christianshavn - Holmen og Refshaleøen;174;87;87
;;;Østerbro - Nord/Komponistkvarteret;223;124;99
;;;Østerbro - Svanemøllen Syd/Øst;547;295;252
;;;Østerbro - Århusgade Nord;490;257;233
;;;Østerbro - Århusgade Syd;627;322;305
;;;Østerbro - Rosenvænget;512;254;258
;;;Østerbro - Ny Ryvang;140;83;57
;;;Østerbro - Nord;188;96;92
;;;Østerbro - Nordhavn;459;236;223
;;;Østerbro - Lyngbyvej Vest;330;163;167
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;428;205;223
;;;Østerbro - Fælled;367;194;173
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;836;414;422
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;1083;554;529
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;1219;652;567
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;994;512;482
;;;Nørrebro - Haraldsgade-kvarteret;572;279;293
;;;Vesterbro - Vest;1343;699;644
;;;Vesterbro - Central;1340;719;621
;;;Vesterbro - Øst;402;197;205
;;;Vesterbro - Syd;299;151;148
;;;Kgs. Enghave - Bavnehøj;202;97;105
;;;Kgs. Enghave - Gl. Sydhavn;551;256;295
;;;Kgs. Enghave - Holmene;1210;610;600
;;;Valby - Gl. Valby;667;362;305
;;;Valby - Syd;1167;596;571
;;;Valby - Ålholm;491;256;235
;;;Valby - Valby Sydvest;1072;542;530
;;;Valby - Vigerslev;401;204;197
;;;Vanløse - Jyllingevej Kvarter;664;332;332
;;;Vanløse - Jernbane Allé Kvarter;633;331;302
;;;Vanløse - Sallingvej Kvarter;478;253;225
;;;Vanløse - Grøndals Park Kvarter;313;161;152
;;;Brønshøj-Husum - Husum;884;446;438
;;;Brønshøj-Husum - Husum Nord;531;274;257
;;;Brønshøj-Husum - Tingbjerg;433;230;203
;;;Brønshøj-Husum - Brønshøj;665;354;311
;;;Brønshøj-Husum - Bellahøj;222;107;115
;;;Bispebjerg - Emdrup;183;92;91
;;;Bispebjerg- Ryparken-Lundehus;343;175;168
;;;Bispebjerg - Bispebjerg;300;153;147
;;;Bispebjerg - Utterslev;333;183;150
;;;Bispebjerg - Nordvest;1908;959;949
;;;Amager Øst - Amagerbro Øst;1258;626;632
;;;Amager Øst - Sundbyøster;741;380;361
;;;Amager Øst - Villakvartererne;779;389;390
;;;Amager Øst - Nordøstamager;734;379;355
;;;Amager Vest - Amagerbro Vest;410;217;193
;;;Amager Vest - Bryggen Syd;395;208;187
;;;Amager Vest - Faste Batteri;328;159;169
;;;Amager Vest - Gamle Bryggen;537;290;247
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);222;118;104
;;;Amager Vest - Kolonihavekvarteret;235;111;124
;;;Amager Vest - Sundbyvester;771;415;356
;;;Amager Vest - Sundholmsvejs kvarteret;505;252;253
;;;Amager Vest - Urbanplanen;193;93;100
;;;Amager Vest - Ørestad City;696;366;330
;;;Amager Vest - Ørestad Syd;1069;557;512
;;;Kvarterer - Uden for inddeling;114;57;57
;;5-9 years;København i alt;29207;14855;14352
;;;Bydel - Indre By;1906;968;938
;;;Bydel - Østerbro;3239;1662;1577
;;;Bydel - Nørrebro;3189;1628;1561
;;;Bydel - Vesterbro/Kongens Enghave;3469;1774;1695
;;;Bydel - Valby;3249;1658;1591
;;;Bydel - Vanløse;1831;954;877
;;;Bydel - Brønshøj-Husum;2885;1438;1447
;;;Bydel - Bispebjerg;2204;1121;1083
;;;Bydel - Amager Øst;2634;1329;1305
;;;Bydel - Amager Vest;4505;2276;2229
;;;Bydel - Uden for inddeling;96;47;49
;;;Lokaludvalg - Indre By;1373;695;678
;;;Lokaludvalg - Christianshavn;533;273;260
;;;Lokaludvalg - Østerbro;3239;1662;1577
;;;Lokaludvalg - Nørrebro;3189;1628;1561
;;;Lokaludvalg - Vesterbro;2192;1126;1066
;;;Lokaludvalg - Kgs. Enghave;1277;648;629
;;;Lokaludvalg - Valby;3249;1658;1591
;;;Lokaludvalg - Vanløse;1831;954;877
;;;Lokaludvalg - Brønshøj-Husum;2885;1438;1447
;;;Lokaludvalg - Bispebjerg;2204;1121;1083
;;;Lokaludvalg - Amager Øst;2634;1329;1305
;;;Lokaludvalg - Amager Vest;4505;2276;2229
;;;Lokaludvalg - Uden for inddeling;96;47;49
;;;Indre By - Middelalderbyen;202;94;108
;;;Indre By - Metropolzonen;84;49;35
;;;Indre By - Nansensgade-kvarteret;231;122;109
;;;Indre By - Øster Farimagsgade-kvarteret;294;145;149
;;;Indre By - Østerport;179;98;81
;;;Indre By - Frederiksstaden;282;136;146
;;;Indre By - Gammelholm og Nyhavn;101;51;50
;;;Christianshavn - Neden Vandet;74;43;31
;;;Christianshavn - Oven Vandet;240;116;124
;;;Christianshavn - Holmen og Refshaleøen;219;114;105
;;;Østerbro - Nord/Komponistkvarteret;161;84;77
;;;Østerbro - Svanemøllen Syd/Øst;351;174;177
;;;Østerbro - Århusgade Nord;293;149;144
;;;Østerbro - Århusgade Syd;452;230;222
;;;Østerbro - Rosenvænget;457;238;219
;;;Østerbro - Ny Ryvang;140;71;69
;;;Østerbro - Nord;217;110;107
;;;Østerbro - Nordhavn;332;171;161
;;;Østerbro - Lyngbyvej Vest;255;154;101
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;272;129;143
;;;Østerbro - Fælled;309;152;157
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;706;349;357
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;752;394;358
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;766;385;381
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;609;309;300
;;;Nørrebro - Haraldsgade-kvarteret;356;191;165
;;;Vesterbro - Vest;791;404;387
;;;Vesterbro - Central;1020;532;488
;;;Vesterbro - Øst;242;114;128
;;;Vesterbro - Syd;139;76;63
;;;Kgs. Enghave - Bavnehøj;88;42;46
;;;Kgs. Enghave - Gl. Sydhavn;486;253;233
;;;Kgs. Enghave - Holmene;703;353;350
;;;Valby - Gl. Valby;510;259;251
;;;Valby - Syd;1013;521;492
;;;Valby - Ålholm;510;265;245
;;;Valby - Valby Sydvest;853;429;424
;;;Valby - Vigerslev;363;184;179
;;;Vanløse - Jyllingevej Kvarter;663;334;329
;;;Vanløse - Jernbane Allé Kvarter;464;235;229
;;;Vanløse - Sallingvej Kvarter;412;217;195
;;;Vanløse - Grøndals Park Kvarter;292;168;124
;;;Brønshøj-Husum - Husum;983;457;526
;;;Brønshøj-Husum - Husum Nord;561;288;273
;;;Brønshøj-Husum - Tingbjerg;428;208;220
;;;Brønshøj-Husum - Brønshøj;707;378;329
;;;Brønshøj-Husum - Bellahøj;206;107;99
;;;Bispebjerg - Emdrup;183;98;85
;;;Bispebjerg- Ryparken-Lundehus;336;163;173
;;;Bispebjerg - Bispebjerg;268;145;123
;;;Bispebjerg - Utterslev;301;155;146
;;;Bispebjerg - Nordvest;1116;560;556
;;;Amager Øst - Amagerbro Øst;723;349;374
;;;Amager Øst - Sundbyøster;567;298;269
;;;Amager Øst - Villakvartererne;808;419;389
;;;Amager Øst - Nordøstamager;536;263;273
;;;Amager Vest - Amagerbro Vest;241;124;117
;;;Amager Vest - Bryggen Syd;370;189;181
;;;Amager Vest - Faste Batteri;193;97;96
;;;Amager Vest - Gamle Bryggen;351;174;177
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);158;82;76
;;;Amager Vest - Kolonihavekvarteret;367;180;187
;;;Amager Vest - Sundbyvester;772;392;380
;;;Amager Vest - Sundholmsvejs kvarteret;367;195;172
;;;Amager Vest - Urbanplanen;220;85;135
;;;Amager Vest - Ørestad City;512;260;252
;;;Amager Vest - Ørestad Syd;954;498;456
;;;Kvarterer - Uden for inddeling;96;47;49
;;10-14 years;København i alt;26851;13817;13034
