Befolkningen efter tid, statsborgerskab, alder, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;all genders;Male;Female
;;;Brønshøj-Husum - Husum Nord;479;259;220
;;;Brønshøj-Husum - Tingbjerg;207;113;94
;;;Brønshøj-Husum - Brønshøj;549;277;272
;;;Brønshøj-Husum - Bellahøj;225;126;99
;;;Bispebjerg - Emdrup;218;98;120
;;;Bispebjerg- Ryparken-Lundehus;364;187;177
;;;Bispebjerg - Bispebjerg;364;205;159
;;;Bispebjerg - Utterslev;292;159;133
;;;Bispebjerg - Nordvest;1137;645;492
;;;Amager Øst - Amagerbro Øst;1023;534;489
;;;Amager Øst - Sundbyøster;711;367;344
;;;Amager Øst - Villakvartererne;676;337;339
;;;Amager Øst - Nordøstamager;335;162;173
;;;Amager Vest - Amagerbro Vest;322;158;164
;;;Amager Vest - Bryggen Syd;264;130;134
;;;Amager Vest - Faste Batteri;171;80;91
;;;Amager Vest - Gamle Bryggen;398;204;194
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);90;40;50
;;;Amager Vest - Kolonihavekvarteret;226;119;107
;;;Amager Vest - Sundbyvester;682;334;348
;;;Amager Vest - Sundholmsvejs kvarteret;619;313;306
;;;Amager Vest - Urbanplanen;306;166;140
;;;Amager Vest - Ørestad City;211;116;95
;;;Amager Vest - Ørestad Syd;270;135;135
;;65-69 years;København i alt;22461;11143;11318
;;;Bydel - Indre By;2319;1111;1208
;;;Bydel - Østerbro;3161;1532;1629
;;;Bydel - Nørrebro;2239;1145;1094
;;;Bydel - Vesterbro/Kongens Enghave;2329;1193;1136
;;;Bydel - Valby;2036;966;1070
;;;Bydel - Vanløse;1683;802;881
;;;Bydel - Brønshøj-Husum;1870;936;934
;;;Bydel - Bispebjerg;1894;1008;886
;;;Bydel - Amager Øst;2144;1067;1077
;;;Bydel - Amager Vest;2727;1338;1389
;;;Bydel - Uden for inddeling;59;45;14
;;;Lokaludvalg - Indre By;1620;776;844
;;;Lokaludvalg - Christianshavn;699;335;364
;;;Lokaludvalg - Østerbro;3161;1532;1629
;;;Lokaludvalg - Nørrebro;2239;1145;1094
;;;Lokaludvalg - Vesterbro;1248;643;605
;;;Lokaludvalg - Kgs. Enghave;1081;550;531
;;;Lokaludvalg - Valby;2036;966;1070
;;;Lokaludvalg - Vanløse;1683;802;881
;;;Lokaludvalg - Brønshøj-Husum;1870;936;934
;;;Lokaludvalg - Bispebjerg;1894;1008;886
;;;Lokaludvalg - Amager Øst;2144;1067;1077
;;;Lokaludvalg - Amager Vest;2727;1338;1389
;;;Lokaludvalg - Uden for inddeling;59;45;14
;;;Indre By - Middelalderbyen;247;127;120
;;;Indre By - Metropolzonen;110;58;52
;;;Indre By - Nansensgade-kvarteret;245;120;125
;;;Indre By - Øster Farimagsgade-kvarteret;296;150;146
;;;Indre By - Østerport;209;93;116
;;;Indre By - Frederiksstaden;356;156;200
;;;Indre By - Gammelholm og Nyhavn;157;72;85
;;;Christianshavn - Neden Vandet;198;102;96
;;;Christianshavn - Oven Vandet;366;166;200
;;;Christianshavn - Holmen og Refshaleøen;135;67;68
;;;Østerbro - Nord/Komponistkvarteret;108;49;59
;;;Østerbro - Svanemøllen Syd/Øst;473;215;258
;;;Østerbro - Århusgade Nord;296;151;145
;;;Østerbro - Århusgade Syd;457;220;237
;;;Østerbro - Rosenvænget;377;172;205
;;;Østerbro - Ny Ryvang;145;84;61
;;;Østerbro - Nord;220;102;118
;;;Østerbro - Nordhavn;215;120;95
;;;Østerbro - Lyngbyvej Vest;262;128;134
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;217;111;106
;;;Østerbro - Fælled;391;180;211
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;500;236;264
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;557;271;286
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;465;253;212
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;414;225;189
;;;Nørrebro - Haraldsgade-kvarteret;303;160;143
;;;Vesterbro - Vest;317;155;162
;;;Vesterbro - Central;608;319;289
;;;Vesterbro - Øst;184;92;92
;;;Vesterbro - Syd;139;77;62
;;;Kgs. Enghave - Bavnehøj;147;94;53
;;;Kgs. Enghave - Gl. Sydhavn;615;286;329
;;;Kgs. Enghave - Holmene;319;170;149
;;;Valby - Gl. Valby;398;194;204
;;;Valby - Syd;642;287;355
;;;Valby - Ålholm;371;180;191
;;;Valby - Valby Sydvest;363;183;180
;;;Valby - Vigerslev;262;122;140
;;;Vanløse - Jyllingevej Kvarter;519;251;268
;;;Vanløse - Jernbane Allé Kvarter;568;254;314
;;;Vanløse - Sallingvej Kvarter;373;193;180
;;;Vanløse - Grøndals Park Kvarter;223;104;119
;;;Brønshøj-Husum - Husum;725;371;354
;;;Brønshøj-Husum - Husum Nord;349;174;175
;;;Brønshøj-Husum - Tingbjerg;170;80;90
;;;Brønshøj-Husum - Brønshøj;471;229;242
;;;Brønshøj-Husum - Bellahøj;155;82;73
;;;Bispebjerg - Emdrup;221;120;101
;;;Bispebjerg- Ryparken-Lundehus;299;147;152
;;;Bispebjerg - Bispebjerg;264;132;132
;;;Bispebjerg - Utterslev;212;106;106
;;;Bispebjerg - Nordvest;898;503;395
;;;Amager Øst - Amagerbro Øst;735;364;371
;;;Amager Øst - Sundbyøster;544;261;283
;;;Amager Øst - Villakvartererne;593;317;276
;;;Amager Øst - Nordøstamager;272;125;147
;;;Amager Vest - Amagerbro Vest;242;126;116
;;;Amager Vest - Bryggen Syd;227;113;114
;;;Amager Vest - Faste Batteri;138;60;78
;;;Amager Vest - Gamle Bryggen;255;118;137
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);61;34;27
;;;Amager Vest - Kolonihavekvarteret;183;94;89
;;;Amager Vest - Sundbyvester;585;291;294
;;;Amager Vest - Sundholmsvejs kvarteret;446;219;227
;;;Amager Vest - Urbanplanen;280;137;143
;;;Amager Vest - Ørestad City;138;62;76
;;;Amager Vest - Ørestad Syd;172;84;88
;;70-74 years;København i alt;18131;8426;9705
;;;Bydel - Indre By;2064;947;1117
;;;Bydel - Østerbro;2668;1163;1505
;;;Bydel - Nørrebro;1715;806;909
;;;Bydel - Vesterbro/Kongens Enghave;1650;784;866
;;;Bydel - Valby;1647;753;894
;;;Bydel - Vanløse;1405;660;745
;;;Bydel - Brønshøj-Husum;1570;763;807
;;;Bydel - Bispebjerg;1431;709;722
;;;Bydel - Amager Øst;1695;760;935
;;;Bydel - Amager Vest;2267;1069;1198
;;;Bydel - Uden for inddeling;19;12;7
;;;Lokaludvalg - Indre By;1389;625;764
;;;Lokaludvalg - Christianshavn;675;322;353
;;;Lokaludvalg - Østerbro;2668;1163;1505
;;;Lokaludvalg - Nørrebro;1715;806;909
;;;Lokaludvalg - Vesterbro;859;414;445
;;;Lokaludvalg - Kgs. Enghave;791;370;421
;;;Lokaludvalg - Valby;1647;753;894
;;;Lokaludvalg - Vanløse;1405;660;745
;;;Lokaludvalg - Brønshøj-Husum;1570;763;807
;;;Lokaludvalg - Bispebjerg;1431;709;722
;;;Lokaludvalg - Amager Øst;1695;760;935
;;;Lokaludvalg - Amager Vest;2267;1069;1198
;;;Lokaludvalg - Uden for inddeling;19;12;7
;;;Indre By - Middelalderbyen;163;75;88
;;;Indre By - Metropolzonen;118;61;57
;;;Indre By - Nansensgade-kvarteret;174;73;101
;;;Indre By - Øster Farimagsgade-kvarteret;252;119;133
;;;Indre By - Østerport;186;89;97
;;;Indre By - Frederiksstaden;361;151;210
;;;Indre By - Gammelholm og Nyhavn;135;57;78
;;;Christianshavn - Neden Vandet;177;84;93
;;;Christianshavn - Oven Vandet;356;172;184
;;;Christianshavn - Holmen og Refshaleøen;142;66;76
;;;Østerbro - Nord/Komponistkvarteret;82;35;47
;;;Østerbro - Svanemøllen Syd/Øst;361;148;213
;;;Østerbro - Århusgade Nord;219;89;130
;;;Østerbro - Århusgade Syd;346;164;182
;;;Østerbro - Rosenvænget;330;148;182
;;;Østerbro - Ny Ryvang;132;55;77
;;;Østerbro - Nord;244;96;148
;;;Østerbro - Nordhavn;154;79;75
;;;Østerbro - Lyngbyvej Vest;227;105;122
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;199;89;110
;;;Østerbro - Fælled;374;155;219
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;405;185;220
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;481;237;244
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;340;153;187
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;278;125;153
;;;Nørrebro - Haraldsgade-kvarteret;211;106;105
;;;Vesterbro - Vest;274;134;140
;;;Vesterbro - Central;372;178;194
;;;Vesterbro - Øst;133;63;70
;;;Vesterbro - Syd;80;39;41
;;;Kgs. Enghave - Bavnehøj;91;44;47
;;;Kgs. Enghave - Gl. Sydhavn;506;232;274
;;;Kgs. Enghave - Holmene;194;94;100
;;;Valby - Gl. Valby;327;153;174
;;;Valby - Syd;494;228;266
;;;Valby - Ålholm;307;129;178
;;;Valby - Valby Sydvest;317;144;173
;;;Valby - Vigerslev;202;99;103
;;;Vanløse - Jyllingevej Kvarter;454;232;222
;;;Vanløse - Jernbane Allé Kvarter;472;201;271
;;;Vanløse - Sallingvej Kvarter;286;129;157
;;;Vanløse - Grøndals Park Kvarter;193;98;95
;;;Brønshøj-Husum - Husum;606;305;301
;;;Brønshøj-Husum - Husum Nord;273;125;148
;;;Brønshøj-Husum - Tingbjerg;152;63;89
;;;Brønshøj-Husum - Brønshøj;396;197;199
;;;Brønshøj-Husum - Bellahøj;143;73;70
;;;Bispebjerg - Emdrup;186;101;85
;;;Bispebjerg- Ryparken-Lundehus;231;104;127
;;;Bispebjerg - Bispebjerg;249;120;129
;;;Bispebjerg - Utterslev;200;90;110
;;;Bispebjerg - Nordvest;565;294;271
;;;Amager Øst - Amagerbro Øst;500;234;266
;;;Amager Øst - Sundbyøster;454;188;266
;;;Amager Øst - Villakvartererne;500;239;261
;;;Amager Øst - Nordøstamager;241;99;142
;;;Amager Vest - Amagerbro Vest;207;105;102
;;;Amager Vest - Bryggen Syd;136;66;70
;;;Amager Vest - Faste Batteri;150;71;79
;;;Amager Vest - Gamle Bryggen;244;110;134
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);60;28;32
;;;Amager Vest - Kolonihavekvarteret;167;66;101
;;;Amager Vest - Sundbyvester;442;216;226
;;;Amager Vest - Sundholmsvejs kvarteret;363;169;194
;;;Amager Vest - Urbanplanen;226;114;112
;;;Amager Vest - Ørestad City;111;53;58
;;;Amager Vest - Ørestad Syd;161;71;90
;;75-79 years;København i alt;15811;7047;8764
;;;Bydel - Indre By;2162;976;1186
;;;Bydel - Østerbro;2492;1027;1465
;;;Bydel - Nørrebro;1296;581;715
;;;Bydel - Vesterbro/Kongens Enghave;1303;584;719
;;;Bydel - Valby;1385;627;758
;;;Bydel - Vanløse;1313;583;730
;;;Bydel - Brønshøj-Husum;1278;601;677
;;;Bydel - Bispebjerg;1219;561;658
;;;Bydel - Amager Øst;1440;634;806
;;;Bydel - Amager Vest;1912;867;1045
;;;Bydel - Uden for inddeling;11;6;5
;;;Lokaludvalg - Indre By;1475;674;801
;;;Lokaludvalg - Christianshavn;687;302;385
;;;Lokaludvalg - Østerbro;2492;1027;1465
;;;Lokaludvalg - Nørrebro;1296;581;715
;;;Lokaludvalg - Vesterbro;703;320;383
;;;Lokaludvalg - Kgs. Enghave;600;264;336
;;;Lokaludvalg - Valby;1385;627;758
;;;Lokaludvalg - Vanløse;1313;583;730
;;;Lokaludvalg - Brønshøj-Husum;1278;601;677
;;;Lokaludvalg - Bispebjerg;1219;561;658
;;;Lokaludvalg - Amager Øst;1440;634;806
;;;Lokaludvalg - Amager Vest;1912;867;1045
;;;Lokaludvalg - Uden for inddeling;11;6;5
;;;Indre By - Middelalderbyen;203;88;115
;;;Indre By - Metropolzonen;119;48;71
;;;Indre By - Nansensgade-kvarteret;171;77;94
;;;Indre By - Øster Farimagsgade-kvarteret;260;117;143
;;;Indre By - Østerport;189;92;97
;;;Indre By - Frederiksstaden;428;201;227
;;;Indre By - Gammelholm og Nyhavn;105;51;54
;;;Christianshavn - Neden Vandet;212;95;117
;;;Christianshavn - Oven Vandet;335;140;195
;;;Christianshavn - Holmen og Refshaleøen;140;67;73
;;;Østerbro - Nord/Komponistkvarteret;94;37;57
;;;Østerbro - Svanemøllen Syd/Øst;379;155;224
;;;Østerbro - Århusgade Nord;185;76;109
;;;Østerbro - Århusgade Syd;292;132;160
;;;Østerbro - Rosenvænget;280;119;161
;;;Østerbro - Ny Ryvang;112;56;56
;;;Østerbro - Nord;306;116;190
;;;Østerbro - Nordhavn;114;61;53
;;;Østerbro - Lyngbyvej Vest;199;92;107
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;186;68;118
;;;Østerbro - Fælled;345;115;230
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;287;131;156
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;418;186;232
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;251;107;144
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;190;90;100
;;;Nørrebro - Haraldsgade-kvarteret;150;67;83
;;;Vesterbro - Vest;206;92;114
;;;Vesterbro - Central;313;135;178
;;;Vesterbro - Øst;130;63;67
;;;Vesterbro - Syd;54;30;24
;;;Kgs. Enghave - Bavnehøj;99;43;56
;;;Kgs. Enghave - Gl. Sydhavn;368;156;212
;;;Kgs. Enghave - Holmene;133;65;68
;;;Valby - Gl. Valby;272;122;150
;;;Valby - Syd;428;188;240
;;;Valby - Ålholm;256;118;138
;;;Valby - Valby Sydvest;249;115;134
;;;Valby - Vigerslev;180;84;96
;;;Vanløse - Jyllingevej Kvarter;399;175;224
;;;Vanløse - Jernbane Allé Kvarter;460;186;274
;;;Vanløse - Sallingvej Kvarter;277;134;143
;;;Vanløse - Grøndals Park Kvarter;177;88;89
;;;Brønshøj-Husum - Husum;479;216;263
;;;Brønshøj-Husum - Husum Nord;267;123;144
;;;Brønshøj-Husum - Tingbjerg;112;57;55
;;;Brønshøj-Husum - Brønshøj;304;158;146
;;;Brønshøj-Husum - Bellahøj;116;47;69
;;;Bispebjerg - Emdrup;178;80;98
;;;Bispebjerg- Ryparken-Lundehus;236;102;134
;;;Bispebjerg - Bispebjerg;239;111;128
;;;Bispebjerg - Utterslev;151;62;89
;;;Bispebjerg - Nordvest;415;206;209
;;;Amager Øst - Amagerbro Øst;458;188;270
;;;Amager Øst - Sundbyøster;387;176;211
;;;Amager Øst - Villakvartererne;402;172;230
;;;Amager Øst - Nordøstamager;193;98;95
;;;Amager Vest - Amagerbro Vest;179;76;103
;;;Amager Vest - Bryggen Syd;111;56;55
;;;Amager Vest - Faste Batteri;149;66;83
;;;Amager Vest - Gamle Bryggen;223;96;127
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);46;23;23
;;;Amager Vest - Kolonihavekvarteret;123;60;63
;;;Amager Vest - Sundbyvester;382;179;203
;;;Amager Vest - Sundholmsvejs kvarteret;283;122;161
;;;Amager Vest - Urbanplanen;172;76;96
;;;Amager Vest - Ørestad City;102;49;53
;;;Amager Vest - Ørestad Syd;142;64;78
;;80-84 years;København i alt;10499;4356;6143
;;;Bydel - Indre By;1595;668;927
;;;Bydel - Østerbro;1716;671;1045
;;;Bydel - Nørrebro;881;371;510
;;;Bydel - Vesterbro/Kongens Enghave;772;368;404
;;;Bydel - Valby;958;413;545
;;;Bydel - Vanløse;748;306;442
;;;Bydel - Brønshøj-Husum;844;361;483
;;;Bydel - Bispebjerg;794;331;463
;;;Bydel - Amager Øst;933;351;582
;;;Bydel - Amager Vest;1257;515;742
;;;Bydel - Uden for inddeling;1;1;0
;;;Lokaludvalg - Indre By;1176;473;703
;;;Lokaludvalg - Christianshavn;419;195;224
;;;Lokaludvalg - Østerbro;1716;671;1045
;;;Lokaludvalg - Nørrebro;881;371;510
;;;Lokaludvalg - Vesterbro;410;200;210
;;;Lokaludvalg - Kgs. Enghave;362;168;194
;;;Lokaludvalg - Valby;958;413;545
;;;Lokaludvalg - Vanløse;748;306;442
;;;Lokaludvalg - Brønshøj-Husum;844;361;483
;;;Lokaludvalg - Bispebjerg;794;331;463
;;;Lokaludvalg - Amager Øst;933;351;582
;;;Lokaludvalg - Amager Vest;1257;515;742
;;;Lokaludvalg - Uden for inddeling;1;1;0
;;;Indre By - Middelalderbyen;159;70;89
;;;Indre By - Metropolzonen;120;52;68
;;;Indre By - Nansensgade-kvarteret;130;55;75
;;;Indre By - Øster Farimagsgade-kvarteret;178;71;107
;;;Indre By - Østerport;149;54;95
;;;Indre By - Frederiksstaden;333;122;211
;;;Indre By - Gammelholm og Nyhavn;107;49;58
;;;Christianshavn - Neden Vandet;161;67;94
;;;Christianshavn - Oven Vandet;193;99;94
;;;Christianshavn - Holmen og Refshaleøen;65;29;36
;;;Østerbro - Nord/Komponistkvarteret;65;33;32
;;;Østerbro - Svanemøllen Syd/Øst;234;87;147
;;;Østerbro - Århusgade Nord;139;49;90
;;;Østerbro - Århusgade Syd;223;75;148
;;;Østerbro - Rosenvænget;162;68;94
;;;Østerbro - Ny Ryvang;59;22;37
;;;Østerbro - Nord;270;93;177
;;;Østerbro - Nordhavn;69;29;40
;;;Østerbro - Lyngbyvej Vest;131;66;65
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;126;53;73
;;;Østerbro - Fælled;238;96;142
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;197;88;109
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;312;132;180
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;178;73;105
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;113;41;72
;;;Nørrebro - Haraldsgade-kvarteret;81;37;44
;;;Vesterbro - Vest;125;70;55
;;;Vesterbro - Central;184;77;107
;;;Vesterbro - Øst;86;44;42
;;;Vesterbro - Syd;15;9;6
;;;Kgs. Enghave - Bavnehøj;63;28;35
;;;Kgs. Enghave - Gl. Sydhavn;238;112;126
;;;Kgs. Enghave - Holmene;61;28;33
;;;Valby - Gl. Valby;213;81;132
;;;Valby - Syd;313;140;173
;;;Valby - Ålholm;184;81;103
;;;Valby - Valby Sydvest;132;62;70
;;;Valby - Vigerslev;116;49;67
;;;Vanløse - Jyllingevej Kvarter;213;97;116
;;;Vanløse - Jernbane Allé Kvarter;268;92;176
;;;Vanløse - Sallingvej Kvarter;156;64;92
;;;Vanløse - Grøndals Park Kvarter;111;53;58
;;;Brønshøj-Husum - Husum;309;140;169
;;;Brønshøj-Husum - Husum Nord;154;55;99
;;;Brønshøj-Husum - Tingbjerg;102;40;62
;;;Brønshøj-Husum - Brønshøj;196;78;118
;;;Brønshøj-Husum - Bellahøj;83;48;35
;;;Bispebjerg - Emdrup;134;66;68
;;;Bispebjerg- Ryparken-Lundehus;159;63;96
;;;Bispebjerg - Bispebjerg;151;66;85
;;;Bispebjerg - Utterslev;104;31;73
;;;Bispebjerg - Nordvest;246;105;141
;;;Amager Øst - Amagerbro Øst;285;111;174
;;;Amager Øst - Sundbyøster;278;95;183
;;;Amager Øst - Villakvartererne;264;100;164
;;;Amager Øst - Nordøstamager;106;45;61
;;;Amager Vest - Amagerbro Vest;121;39;82
;;;Amager Vest - Bryggen Syd;49;23;26
;;;Amager Vest - Faste Batteri;108;50;58
;;;Amager Vest - Gamle Bryggen;134;51;83
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);30;12;18
;;;Amager Vest - Kolonihavekvarteret;78;39;39
;;;Amager Vest - Sundbyvester;250;93;157
;;;Amager Vest - Sundholmsvejs kvarteret;163;70;93
;;;Amager Vest - Urbanplanen;182;70;112
;;;Amager Vest - Ørestad City;62;30;32
;;;Amager Vest - Ørestad Syd;80;38;42
;;85-89 years;København i alt;4740;1719;3021
;;;Bydel - Indre By;625;242;383
;;;Bydel - Østerbro;810;285;525
;;;Bydel - Nørrebro;385;154;231
;;;Bydel - Vesterbro/Kongens Enghave;304;113;191
;;;Bydel - Valby;488;183;305
;;;Bydel - Vanløse;407;150;257
;;;Bydel - Brønshøj-Husum;415;151;264
;;;Bydel - Bispebjerg;390;145;245
;;;Bydel - Amager Øst;415;129;286
;;;Bydel - Amager Vest;499;166;333
;;;Bydel - Uden for inddeling;2;1;1
;;;Lokaludvalg - Indre By;485;188;297
;;;Lokaludvalg - Christianshavn;140;54;86
;;;Lokaludvalg - Østerbro;810;285;525
;;;Lokaludvalg - Nørrebro;385;154;231
;;;Lokaludvalg - Vesterbro;154;69;85
;;;Lokaludvalg - Kgs. Enghave;150;44;106
;;;Lokaludvalg - Valby;488;183;305
;;;Lokaludvalg - Vanløse;407;150;257
;;;Lokaludvalg - Brønshøj-Husum;415;151;264
;;;Lokaludvalg - Bispebjerg;390;145;245
;;;Lokaludvalg - Amager Øst;415;129;286
;;;Lokaludvalg - Amager Vest;499;166;333
;;;Lokaludvalg - Uden for inddeling;2;1;1
;;;Indre By - Middelalderbyen;61;23;38
;;;Indre By - Metropolzonen;43;19;24
;;;Indre By - Nansensgade-kvarteret;47;19;28
;;;Indre By - Øster Farimagsgade-kvarteret;65;28;37
;;;Indre By - Østerport;79;29;50
;;;Indre By - Frederiksstaden;156;52;104
;;;Indre By - Gammelholm og Nyhavn;34;18;16
;;;Christianshavn - Neden Vandet;45;19;26
;;;Christianshavn - Oven Vandet;83;27;56
;;;Christianshavn - Holmen og Refshaleøen;12;8;4
;;;Østerbro - Nord/Komponistkvarteret;18;8;10
;;;Østerbro - Svanemøllen Syd/Øst;138;43;95
;;;Østerbro - Århusgade Nord;52;20;32
;;;Østerbro - Århusgade Syd;95;33;62
;;;Østerbro - Rosenvænget;70;31;39
;;;Østerbro - Ny Ryvang;49;15;34
;;;Østerbro - Nord;155;51;104
;;;Østerbro - Nordhavn;29;12;17
;;;Østerbro - Lyngbyvej Vest;58;21;37
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;63;26;37
;;;Østerbro - Fælled;83;25;58
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;73;34;39
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;177;67;110
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;57;21;36
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;45;19;26
;;;Nørrebro - Haraldsgade-kvarteret;33;13;20
;;;Vesterbro - Vest;43;20;23
;;;Vesterbro - Central;66;30;36
;;;Vesterbro - Øst;40;16;24
;;;Vesterbro - Syd;5;3;2
;;;Kgs. Enghave - Bavnehøj;22;9;13
;;;Kgs. Enghave - Gl. Sydhavn;109;28;81
;;;Kgs. Enghave - Holmene;19;7;12
;;;Valby - Gl. Valby;85;36;49
;;;Valby - Syd;187;56;131
;;;Valby - Ålholm;99;42;57
;;;Valby - Valby Sydvest;69;22;47
;;;Valby - Vigerslev;48;27;21
;;;Vanløse - Jyllingevej Kvarter;118;52;66
;;;Vanløse - Jernbane Allé Kvarter;148;47;101
;;;Vanløse - Sallingvej Kvarter;99;38;61
;;;Vanløse - Grøndals Park Kvarter;42;13;29
;;;Brønshøj-Husum - Husum;157;60;97
;;;Brønshøj-Husum - Husum Nord;88;29;59
;;;Brønshøj-Husum - Tingbjerg;49;15;34
;;;Brønshøj-Husum - Brønshøj;84;35;49
;;;Brønshøj-Husum - Bellahøj;37;12;25
;;;Bispebjerg - Emdrup;47;22;25
;;;Bispebjerg- Ryparken-Lundehus;73;28;45
;;;Bispebjerg - Bispebjerg;96;29;67
;;;Bispebjerg - Utterslev;64;24;40
;;;Bispebjerg - Nordvest;110;42;68
;;;Amager Øst - Amagerbro Øst;109;34;75
;;;Amager Øst - Sundbyøster;159;44;115
;;;Amager Øst - Villakvartererne;102;37;65
;;;Amager Øst - Nordøstamager;45;14;31
;;;Amager Vest - Amagerbro Vest;40;17;23
;;;Amager Vest - Bryggen Syd;5;1;4
;;;Amager Vest - Faste Batteri;28;12;16
;;;Amager Vest - Gamle Bryggen;46;14;32
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);9;5;4
;;;Amager Vest - Kolonihavekvarteret;30;10;20
;;;Amager Vest - Sundbyvester;115;40;75
;;;Amager Vest - Sundholmsvejs kvarteret;93;31;62
;;;Amager Vest - Urbanplanen;81;17;64
;;;Amager Vest - Ørestad City;13;3;10
;;;Amager Vest - Ørestad Syd;39;16;23
;;90-94 years;København i alt;1677;450;1227
;;;Bydel - Indre By;160;61;99
;;;Bydel - Østerbro;273;73;200
;;;Bydel - Nørrebro;148;37;111
;;;Bydel - Vesterbro/Kongens Enghave;80;18;62
;;;Bydel - Valby;199;40;159
;;;Bydel - Vanløse;149;41;108
;;;Bydel - Brønshøj-Husum;191;61;130
;;;Bydel - Bispebjerg;141;34;107
;;;Bydel - Amager Øst;129;29;100
;;;Bydel - Amager Vest;206;56;150
;;;Bydel - Uden for inddeling;1;0;1
;;;Lokaludvalg - Indre By;134;53;81
;;;Lokaludvalg - Christianshavn;26;8;18
;;;Lokaludvalg - Østerbro;273;73;200
;;;Lokaludvalg - Nørrebro;148;37;111
;;;Lokaludvalg - Vesterbro;30;6;24
;;;Lokaludvalg - Kgs. Enghave;50;12;38
;;;Lokaludvalg - Valby;199;40;159
;;;Lokaludvalg - Vanløse;149;41;108
;;;Lokaludvalg - Brønshøj-Husum;191;61;130
;;;Lokaludvalg - Bispebjerg;141;34;107
;;;Lokaludvalg - Amager Øst;129;29;100
;;;Lokaludvalg - Amager Vest;206;56;150
;;;Lokaludvalg - Uden for inddeling;1;0;1
;;;Indre By - Middelalderbyen;10;4;6
;;;Indre By - Metropolzonen;8;3;5
;;;Indre By - Nansensgade-kvarteret;8;2;6
;;;Indre By - Øster Farimagsgade-kvarteret;14;6;8
;;;Indre By - Østerport;18;4;14
;;;Indre By - Frederiksstaden;64;25;39
;;;Indre By - Gammelholm og Nyhavn;12;9;3
;;;Christianshavn - Neden Vandet;7;4;3
;;;Christianshavn - Oven Vandet;16;4;12
;;;Christianshavn - Holmen og Refshaleøen;3;0;3
;;;Østerbro - Nord/Komponistkvarteret;5;0;5
;;;Østerbro - Svanemøllen Syd/Øst;60;11;49
;;;Østerbro - Århusgade Nord;17;8;9
;;;Østerbro - Århusgade Syd;28;6;22
;;;Østerbro - Rosenvænget;19;7;12
;;;Østerbro - Ny Ryvang;23;1;22
;;;Østerbro - Nord;50;17;33
;;;Østerbro - Nordhavn;6;5;1
;;;Østerbro - Lyngbyvej Vest;21;8;13
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;16;1;15
;;;Østerbro - Fælled;28;9;19
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;19;6;13
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;77;17;60
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;26;8;18
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;17;4;13
;;;Nørrebro - Haraldsgade-kvarteret;9;2;7
;;;Vesterbro - Vest;8;1;7
;;;Vesterbro - Central;17;4;13
;;;Vesterbro - Øst;5;1;4
;;;Vesterbro - Syd;0;0;0
;;;Kgs. Enghave - Bavnehøj;10;1;9
;;;Kgs. Enghave - Gl. Sydhavn;36;9;27
;;;Kgs. Enghave - Holmene;4;2;2
;;;Valby - Gl. Valby;30;7;23
;;;Valby - Syd;96;16;80
;;;Valby - Ålholm;24;6;18
