Befolkningen efter tid, arbejdsmarkedstilknytning, herkomst, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;All genders;Male;Female
;;;Lokaludvalg - Amager Øst;47537;23355;24182
;;;Lokaludvalg - Amager Vest;59267;29488;29779
;;;Indre By - Middelalderbyen;6065;3088;2977
;;;Indre By - Metropolzonen;1994;1005;989
;;;Indre By - Nansensgade-kvarteret;5400;2646;2754
;;;Indre By - Øster Farimagsgade-kvarteret;5939;2844;3095
;;;Indre By - Østerport;3593;1739;1854
;;;Indre By - Frederiksstaden;7845;3865;3980
;;;Indre By - Gammelholm og Nyhavn;2358;1173;1185
;;;Christianshavn - Neden Vandet;2356;1172;1184
;;;Christianshavn - Oven Vandet;5574;2694;2880
;;;Christianshavn - Holmen og Refshaleøen;2703;1370;1333
;;;Østerbro - Nord/Komponistkvarteret;3021;1475;1546
;;;Østerbro - Svanemøllen Syd/Øst;8215;3987;4228
;;;Østerbro - Århusgade Nord;7746;3744;4002
;;;Østerbro - Århusgade Syd;10068;4818;5250
;;;Østerbro - Rosenvænget;8278;3988;4290
;;;Østerbro - Ny Ryvang;1894;938;956
;;;Østerbro - Nord;3920;1801;2119
;;;Østerbro - Nordhavn;4126;2174;1952
;;;Østerbro - Lyngbyvej Vest;3894;1925;1969
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;5785;2788;2997
;;;Østerbro - Fælled;6688;3067;3621
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;10384;4938;5446
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;15170;7203;7967
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;13961;6651;7310
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;11747;5652;6095
;;;Nørrebro - Haraldsgade-kvarteret;6396;3021;3375
;;;Vesterbro - Vest;9347;4651;4696
;;;Vesterbro - Central;18916;9251;9665
;;;Vesterbro - Øst;5995;2967;3028
;;;Vesterbro - Syd;2666;1390;1276
;;;Kgs. Enghave - Bavnehøj;2911;1436;1475
;;;Kgs. Enghave - Gl. Sydhavn;8820;4413;4407
;;;Kgs. Enghave - Holmene;9505;5085;4420
;;;Valby - Gl. Valby;9838;4805;5033
;;;Valby - Syd;14806;7343;7463
;;;Valby - Ålholm;7708;3812;3896
;;;Valby - Valby Sydvest;9290;4665;4625
;;;Valby - Vigerslev;4771;2450;2321
;;;Vanløse - Jyllingevej Kvarter;9542;4747;4795
;;;Vanløse - Jernbane Allé Kvarter;10980;5255;5725
;;;Vanløse - Sallingvej Kvarter;7590;3777;3813
;;;Vanløse - Grøndals Park Kvarter;4464;2187;2277
;;;Brønshøj-Husum - Husum;11538;5694;5844
;;;Brønshøj-Husum - Husum Nord;3816;1819;1997
;;;Brønshøj-Husum - Tingbjerg;1193;551;642
;;;Brønshøj-Husum - Brønshøj;9067;4488;4579
;;;Brønshøj-Husum - Bellahøj;2063;1029;1034
;;;Bispebjerg - Emdrup;3184;1600;1584
;;;Bispebjerg- Ryparken-Lundehus;4009;1954;2055
;;;Bispebjerg - Bispebjerg;4392;2093;2299
;;;Bispebjerg - Utterslev;3677;1777;1900
;;;Bispebjerg - Nordvest;20548;10111;10437
;;;Amager Øst - Amagerbro Øst;17430;8428;9002
;;;Amager Øst - Sundbyøster;11602;5664;5938
;;;Amager Øst - Villakvartererne;12446;6163;6283
;;;Amager Øst - Nordøstamager;6059;3100;2959
;;;Amager Vest - Amagerbro Vest;5863;2815;3048
;;;Amager Vest - Bryggen Syd;4219;2180;2039
;;;Amager Vest - Faste Batteri;3422;1687;1735
;;;Amager Vest - Gamle Bryggen;6448;3140;3308
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);2484;1204;1280
;;;Amager Vest - Kolonihavekvarteret;4238;2106;2132
;;;Amager Vest - Sundbyvester;10198;5006;5192
