Befolkningen efter tid, arbejdsmarkedstilknytning, herkomst, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;All genders;Male;Female
;;;Østerbro - Rosenvænget;5097;2464;2633
;;;Østerbro - Ny Ryvang;889;482;407
;;;Østerbro - Nord;1986;980;1006
;;;Østerbro - Nordhavn;2683;1470;1213
;;;Østerbro - Lyngbyvej Vest;2170;1073;1097
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;3653;1798;1855
;;;Østerbro - Fælled;3901;1822;2079
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;6206;2978;3228
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;9250;4399;4851
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;8929;4242;4687
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;7768;3756;4012
;;;Nørrebro - Haraldsgade-kvarteret;4009;1860;2149
;;;Vesterbro - Vest;5807;2872;2935
;;;Vesterbro - Central;12215;5909;6306
;;;Vesterbro - Øst;4007;1986;2021
;;;Vesterbro - Syd;1886;1022;864
;;;Kgs. Enghave - Bavnehøj;1669;812;857
;;;Kgs. Enghave - Gl. Sydhavn;4756;2451;2305
;;;Kgs. Enghave - Holmene;6552;3594;2958
;;;Valby - Gl. Valby;6240;3080;3160
;;;Valby - Syd;8927;4563;4364
;;;Valby - Ålholm;4575;2317;2258
;;;Valby - Valby Sydvest;5572;2866;2706
;;;Valby - Vigerslev;2635;1370;1265
;;;Vanløse - Jyllingevej Kvarter;5238;2609;2629
;;;Vanløse - Jernbane Allé Kvarter;6656;3318;3338
;;;Vanløse - Sallingvej Kvarter;4641;2356;2285
;;;Vanløse - Grøndals Park Kvarter;2535;1235;1300
;;;Brønshøj-Husum - Husum;6036;3073;2963
;;;Brønshøj-Husum - Husum Nord;1640;812;828
;;;Brønshøj-Husum - Tingbjerg;459;214;245
;;;Brønshøj-Husum - Brønshøj;5097;2539;2558
;;;Brønshøj-Husum - Bellahøj;916;477;439
;;;Bispebjerg - Emdrup;1621;837;784
;;;Bispebjerg- Ryparken-Lundehus;2103;1058;1045
;;;Bispebjerg - Bispebjerg;2333;1124;1209
;;;Bispebjerg - Utterslev;1965;962;1003
;;;Bispebjerg - Nordvest;13022;6385;6637
;;;Amager Øst - Amagerbro Øst;11016;5398;5618
;;;Amager Øst - Sundbyøster;7152;3594;3558
;;;Amager Øst - Villakvartererne;7231;3580;3651
;;;Amager Øst - Nordøstamager;3777;2019;1758
;;;Amager Vest - Amagerbro Vest;3766;1794;1972
;;;Amager Vest - Bryggen Syd;2522;1340;1182
;;;Amager Vest - Faste Batteri;2149;1106;1043
;;;Amager Vest - Gamle Bryggen;4015;1984;2031
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);1568;752;816
;;;Amager Vest - Kolonihavekvarteret;2134;1068;1066
;;;Amager Vest - Sundbyvester;5587;2791;2796
;;;Amager Vest - Sundholmsvejs kvarteret;4259;2096;2163
;;;Amager Vest - Urbanplanen;1091;547;544
;;;Amager Vest - Ørestad City;3289;1849;1440
;;;Amager Vest - Ørestad Syd;4426;2424;2002
;;Western citizenships;København i alt;45968;23145;22823
;;;Bydel - Indre By;4616;2269;2347
;;;Bydel - Østerbro;5308;2525;2783
;;;Bydel - Nørrebro;5130;2481;2649
;;;Bydel - Vesterbro/Kongens Enghave;7228;3725;3503
;;;Bydel - Valby;4111;2096;2015
;;;Bydel - Vanløse;1932;976;956
;;;Bydel - Brønshøj-Husum;1745;914;831
;;;Bydel - Bispebjerg;3566;1806;1760
;;;Bydel - Amager Øst;4533;2263;2270
;;;Bydel - Amager Vest;7659;3995;3664
;;;Lokaludvalg - Indre By;3658;1797;1861
;;;Lokaludvalg - Christianshavn;958;472;486
;;;Lokaludvalg - Østerbro;5308;2525;2783
;;;Lokaludvalg - Nørrebro;5130;2481;2649
;;;Lokaludvalg - Vesterbro;3812;1971;1841
;;;Lokaludvalg - Kgs. Enghave;3416;1754;1662
;;;Lokaludvalg - Valby;4111;2096;2015
;;;Lokaludvalg - Vanløse;1932;976;956
;;;Lokaludvalg - Brønshøj-Husum;1745;914;831
;;;Lokaludvalg - Bispebjerg;3566;1806;1760
;;;Lokaludvalg - Amager Øst;4533;2263;2270
;;;Lokaludvalg - Amager Vest;7659;3995;3664
;;;Indre By - Middelalderbyen;1074;532;542
;;;Indre By - Metropolzonen;337;169;168
;;;Indre By - Nansensgade-kvarteret;457;247;210
;;;Indre By - Øster Farimagsgade-kvarteret;446;210;236
;;;Indre By - Østerport;304;148;156
;;;Indre By - Frederiksstaden;669;315;354
;;;Indre By - Gammelholm og Nyhavn;371;176;195
;;;Christianshavn - Neden Vandet;299;152;147
;;;Christianshavn - Oven Vandet;371;176;195
;;;Christianshavn - Holmen og Refshaleøen;288;144;144
;;;Østerbro - Nord/Komponistkvarteret;218;..;..
;;;Østerbro - Svanemøllen Syd/Øst;678;327;351
;;;Østerbro - Århusgade Nord;568;274;294
;;;Østerbro - Århusgade Syd;637;296;341
;;;Østerbro - Rosenvænget;611;267;344
;;;Østerbro - Ny Ryvang;126;52;74
;;;Østerbro - Nord;271;122;149
;;;Østerbro - Nordhavn;757;395;362
;;;Østerbro - Lyngbyvej Vest;358;170;188
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;510;255;255
;;;Østerbro - Fælled;574;274;300
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;919;450;469
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;1219;593;626
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;990;468;522
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;1340;645;695
;;;Nørrebro - Haraldsgade-kvarteret;662;325;337
;;;Vesterbro - Vest;930;451;479
;;;Vesterbro - Central;1406;718;688
;;;Vesterbro - Øst;601;325;276
;;;Vesterbro - Syd;875;477;398
;;;Kgs. Enghave - Bavnehøj;175;87;88
;;;Kgs. Enghave - Gl. Sydhavn;646;317;329
;;;Kgs. Enghave - Holmene;2595;1350;1245
;;;Valby - Gl. Valby;769;402;367
;;;Valby - Syd;1528;757;771
;;;Valby - Ålholm;445;234;211
;;;Valby - Valby Sydvest;1044;539;505
;;;Valby - Vigerslev;325;164;161
;;;Vanløse - Jyllingevej Kvarter;516;269;247
;;;Vanløse - Jernbane Allé Kvarter;734;352;382
;;;Vanløse - Sallingvej Kvarter;488;258;230
;;;Vanløse - Grøndals Park Kvarter;194;97;97
;;;Brønshøj-Husum - Husum;657;363;294
;;;Brønshøj-Husum - Husum Nord;406;224;182
;;;Brønshøj-Husum - Tingbjerg;181;83;98
;;;Brønshøj-Husum - Brønshøj;397;202;195
;;;Brønshøj-Husum - Bellahøj;104;..;..
;;;Bispebjerg - Emdrup;184;92;92
;;;Bispebjerg- Ryparken-Lundehus;403;199;204
;;;Bispebjerg - Bispebjerg;221;110;111
;;;Bispebjerg - Utterslev;269;140;129
;;;Bispebjerg - Nordvest;2489;1265;1224
;;;Amager Øst - Amagerbro Øst;1619;771;848
;;;Amager Øst - Sundbyøster;690;333;357
;;;Amager Øst - Villakvartererne;851;455;396
;;;Amager Øst - Nordøstamager;1373;704;669
;;;Amager Vest - Amagerbro Vest;403;198;205
;;;Amager Vest - Bryggen Syd;483;242;241
;;;Amager Vest - Faste Batteri;620;334;286
;;;Amager Vest - Gamle Bryggen;388;191;197
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);393;213;180
;;;Amager Vest - Kolonihavekvarteret;438;241;197
;;;Amager Vest - Sundbyvester;657;336;321
;;;Amager Vest - Sundholmsvejs kvarteret;696;315;381
;;;Amager Vest - Urbanplanen;136;66;70
;;;Amager Vest - Ørestad City;1640;873;767
;;;Amager Vest - Ørestad Syd;1805;986;819
;;Non-Western citizenships;København i alt;57588;29241;28347
;;;Bydel - Indre By;2270;1054;1216
;;;Bydel - Østerbro;4712;2257;2455
;;;Bydel - Nørrebro;6458;3215;3243
;;;Bydel - Vesterbro/Kongens Enghave;6495;3194;3301
;;;Bydel - Valby;7049;3660;3389
;;;Bydel - Vanløse;2906;1489;1417
;;;Bydel - Brønshøj-Husum;6921;3715;3206
;;;Bydel - Bispebjerg;6752;3562;3190
;;;Bydel - Amager Øst;4539;2229;2310
;;;Bydel - Amager Vest;9235;4684;4551
;;;Lokaludvalg - Indre By;1765;815;950
;;;Lokaludvalg - Christianshavn;505;239;266
;;;Lokaludvalg - Østerbro;4712;2257;2455
;;;Lokaludvalg - Nørrebro;6458;3215;3243
;;;Lokaludvalg - Vesterbro;2845;1376;1469
;;;Lokaludvalg - Kgs. Enghave;3650;1818;1832
;;;Lokaludvalg - Valby;7049;3660;3389
;;;Lokaludvalg - Vanløse;2906;1489;1417
;;;Lokaludvalg - Brønshøj-Husum;6921;3715;3206
;;;Lokaludvalg - Bispebjerg;6752;3562;3190
;;;Lokaludvalg - Amager Øst;4539;2229;2310
;;;Lokaludvalg - Amager Vest;9235;4684;4551
;;;Indre By - Middelalderbyen;356;184;172
;;;Indre By - Metropolzonen;145;75;70
;;;Indre By - Nansensgade-kvarteret;282;130;152
;;;Indre By - Øster Farimagsgade-kvarteret;267;121;146
;;;Indre By - Østerport;184;91;93
;;;Indre By - Frederiksstaden;401;160;241
;;;Indre By - Gammelholm og Nyhavn;130;54;76
;;;Christianshavn - Neden Vandet;161;79;82
;;;Christianshavn - Oven Vandet;219;105;114
;;;Christianshavn - Holmen og Refshaleøen;125;55;70
;;;Østerbro - Nord/Komponistkvarteret;126;..;..
;;;Østerbro - Svanemøllen Syd/Øst;705;366;339
;;;Østerbro - Århusgade Nord;396;183;213
;;;Østerbro - Århusgade Syd;440;216;224
;;;Østerbro - Rosenvænget;376;186;190
;;;Østerbro - Ny Ryvang;479;241;238
;;;Østerbro - Nord;256;99;157
;;;Østerbro - Nordhavn;522;217;305
;;;Østerbro - Lyngbyvej Vest;583;290;293
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;440;208;232
;;;Østerbro - Fælled;389;189;200
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;1356;690;666
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;1119;502;617
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;1093;548;545
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;1571;822;749
;;;Nørrebro - Haraldsgade-kvarteret;1319;653;666
;;;Vesterbro - Vest;836;373;463
;;;Vesterbro - Central;1057;535;522
;;;Vesterbro - Øst;444;211;233
;;;Vesterbro - Syd;508;257;251
;;;Kgs. Enghave - Bavnehøj;347;166;181
;;;Kgs. Enghave - Gl. Sydhavn;1377;652;725
;;;Kgs. Enghave - Holmene;1926;1000;926
;;;Valby - Gl. Valby;810;399;411
;;;Valby - Syd;2205;1156;1049
;;;Valby - Ålholm;722;367;355
;;;Valby - Valby Sydvest;2213;1163;1050
;;;Valby - Vigerslev;1099;575;524
;;;Vanløse - Jyllingevej Kvarter;801;424;377
;;;Vanløse - Jernbane Allé Kvarter;1130;588;542
;;;Vanløse - Sallingvej Kvarter;676;318;358
;;;Vanløse - Grøndals Park Kvarter;299;159;140
;;;Brønshøj-Husum - Husum;1804;1015;789
;;;Brønshøj-Husum - Husum Nord;2200;1173;1027
;;;Brønshøj-Husum - Tingbjerg;1592;870;722
;;;Brønshøj-Husum - Brønshøj;505;248;257
;;;Brønshøj-Husum - Bellahøj;820;..;..
;;;Bispebjerg - Emdrup;365;201;164
;;;Bispebjerg- Ryparken-Lundehus;864;436;428
;;;Bispebjerg - Bispebjerg;736;416;320
;;;Bispebjerg - Utterslev;999;538;461
;;;Bispebjerg - Nordvest;3788;1971;1817
;;;Amager Øst - Amagerbro Øst;1886;924;962
;;;Amager Øst - Sundbyøster;808;407;401
;;;Amager Øst - Villakvartererne;851;432;419
;;;Amager Øst - Nordøstamager;994;466;528
;;;Amager Vest - Amagerbro Vest;288;146;142
;;;Amager Vest - Bryggen Syd;337;159;178
;;;Amager Vest - Faste Batteri;340;168;172
;;;Amager Vest - Gamle Bryggen;355;178;177
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);295;127;168
;;;Amager Vest - Kolonihavekvarteret;553;282;271
;;;Amager Vest - Sundbyvester;995;508;487
;;;Amager Vest - Sundholmsvejs kvarteret;1585;790;795
;;;Amager Vest - Urbanplanen;760;381;379
;;;Amager Vest - Ørestad City;1884;977;907
;;;Amager Vest - Ørestad Syd;1843;968;875
;Unemployed;Herkomst i alt;København i alt;12143;5811;6332
;;;Bydel - Indre By;901;413;488
;;;Bydel - Østerbro;1264;610;654
;;;Bydel - Nørrebro;1873;868;1005
;;;Bydel - Vesterbro/Kongens Enghave;1648;753;895
;;;Bydel - Valby;1185;587;598
;;;Bydel - Vanløse;599;315;284
;;;Bydel - Brønshøj-Husum;754;359;395
;;;Bydel - Bispebjerg;1369;695;674
;;;Bydel - Amager Øst;1112;523;589
;;;Bydel - Amager Vest;1385;642;743
;;;Lokaludvalg - Indre By;674;297;377
;;;Lokaludvalg - Christianshavn;227;116;111
;;;Lokaludvalg - Østerbro;1264;610;654
;;;Lokaludvalg - Nørrebro;1873;868;1005
;;;Lokaludvalg - Vesterbro;972;441;531
;;;Lokaludvalg - Kgs. Enghave;676;312;364
;;;Lokaludvalg - Valby;1185;587;598
;;;Lokaludvalg - Vanløse;599;315;284
;;;Lokaludvalg - Brønshøj-Husum;754;359;395
;;;Lokaludvalg - Bispebjerg;1369;695;674
;;;Lokaludvalg - Amager Øst;1112;523;589
;;;Lokaludvalg - Amager Vest;1385;642;743
;;;Indre By - Middelalderbyen;130;69;61
;;;Indre By - Metropolzonen;36;15;21
;;;Indre By - Nansensgade-kvarteret;151;68;83
;;;Indre By - Øster Farimagsgade-kvarteret;118;49;69
;;;Indre By - Østerport;61;24;37
;;;Indre By - Frederiksstaden;136;61;75
;;;Indre By - Gammelholm og Nyhavn;42;11;31
;;;Christianshavn - Neden Vandet;41;21;20
;;;Christianshavn - Oven Vandet;138;72;66
;;;Christianshavn - Holmen og Refshaleøen;48;23;25
;;;Østerbro - Nord/Komponistkvarteret;72;29;43
;;;Østerbro - Svanemøllen Syd/Øst;186;88;98
;;;Østerbro - Århusgade Nord;188;77;111
;;;Østerbro - Århusgade Syd;175;94;81
;;;Østerbro - Rosenvænget;143;77;66
;;;Østerbro - Ny Ryvang;50;27;23
;;;Østerbro - Nord;51;25;26
;;;Østerbro - Nordhavn;57;27;30
;;;Østerbro - Lyngbyvej Vest;98;52;46
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;117;56;61
;;;Østerbro - Fælled;127;58;69
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;364;166;198
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;476;222;254
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;397;184;213
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;414;194;220
;;;Nørrebro - Haraldsgade-kvarteret;222;102;120
;;;Vesterbro - Vest;230;99;131
;;;Vesterbro - Central;525;237;288
;;;Vesterbro - Øst;157;75;82
;;;Vesterbro - Syd;60;30;30
;;;Kgs. Enghave - Bavnehøj;91;55;36
;;;Kgs. Enghave - Gl. Sydhavn;341;147;194
;;;Kgs. Enghave - Holmene;244;110;134
;;;Valby - Gl. Valby;219;102;117
;;;Valby - Syd;441;210;231
;;;Valby - Ålholm;141;74;67
;;;Valby - Valby Sydvest;242;125;117
;;;Valby - Vigerslev;142;76;66
;;;Vanløse - Jyllingevej Kvarter;143;78;65
;;;Vanløse - Jernbane Allé Kvarter;216;108;108
;;;Vanløse - Sallingvej Kvarter;149;82;67
;;;Vanløse - Grøndals Park Kvarter;91;47;44
;;;Brønshøj-Husum - Husum;245;121;124
;;;Brønshøj-Husum - Husum Nord;173;88;85
;;;Brønshøj-Husum - Tingbjerg;116;52;64
;;;Brønshøj-Husum - Brønshøj;154;70;84
;;;Brønshøj-Husum - Bellahøj;66;28;38
;;;Bispebjerg - Emdrup;91;45;46
;;;Bispebjerg- Ryparken-Lundehus;125;56;69
;;;Bispebjerg - Bispebjerg;144;70;74
;;;Bispebjerg - Utterslev;135;67;68
;;;Bispebjerg - Nordvest;874;457;417
;;;Amager Øst - Amagerbro Øst;485;243;242
;;;Amager Øst - Sundbyøster;253;119;134
;;;Amager Øst - Villakvartererne;210;95;115
;;;Amager Øst - Nordøstamager;164;66;98
;;;Amager Vest - Amagerbro Vest;129;53;76
;;;Amager Vest - Bryggen Syd;55;25;30
;;;Amager Vest - Faste Batteri;82;40;42
;;;Amager Vest - Gamle Bryggen;129;66;63
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);43;24;19
;;;Amager Vest - Kolonihavekvarteret;68;31;37
;;;Amager Vest - Sundbyvester;173;77;96
;;;Amager Vest - Sundholmsvejs kvarteret;230;108;122
;;;Amager Vest - Urbanplanen;94;42;52
;;;Amager Vest - Ørestad City;175;73;102
;;;Amager Vest - Ørestad Syd;207;103;104
;;Danish citizenship;København i alt;7922;3773;4149
;;;Bydel - Indre By;692;318;374
;;;Bydel - Østerbro;961;464;497
;;;Bydel - Nørrebro;1310;590;720
;;;Bydel - Vesterbro/Kongens Enghave;1104;505;599
;;;Bydel - Valby;701;348;353
;;;Bydel - Vanløse;420;226;194
;;;Bydel - Brønshøj-Husum;353;166;187
;;;Bydel - Bispebjerg;804;398;406
;;;Bydel - Amager Øst;750;361;389
;;;Bydel - Amager Vest;809;383;426
;;;Lokaludvalg - Indre By;516;225;291
;;;Lokaludvalg - Christianshavn;176;93;83
;;;Lokaludvalg - Østerbro;961;464;497
;;;Lokaludvalg - Nørrebro;1310;590;720
;;;Lokaludvalg - Vesterbro;730;331;399
;;;Lokaludvalg - Kgs. Enghave;374;174;200
;;;Lokaludvalg - Valby;701;348;353
;;;Lokaludvalg - Vanløse;420;226;194
;;;Lokaludvalg - Brønshøj-Husum;353;166;187
;;;Lokaludvalg - Bispebjerg;804;398;406
;;;Lokaludvalg - Amager Øst;750;361;389
;;;Lokaludvalg - Amager Vest;809;383;426
;;;Indre By - Middelalderbyen;90;47;43
;;;Indre By - Metropolzonen;24;10;14
;;;Indre By - Nansensgade-kvarteret;113;52;61
;;;Indre By - Øster Farimagsgade-kvarteret;92;38;54
;;;Indre By - Østerport;57;..;..
;;;Indre By - Frederiksstaden;105;44;61
;;;Indre By - Gammelholm og Nyhavn;35;11;24
;;;Christianshavn - Neden Vandet;32;18;14
;;;Christianshavn - Oven Vandet;112;57;55
;;;Christianshavn - Holmen og Refshaleøen;32;18;14
;;;Østerbro - Nord/Komponistkvarteret;56;24;32
;;;Østerbro - Svanemøllen Syd/Øst;128;60;68
;;;Østerbro - Århusgade Nord;153;63;90
;;;Østerbro - Århusgade Syd;147;79;68
;;;Østerbro - Rosenvænget;126;67;59
;;;Østerbro - Ny Ryvang;22;11;11
;;;Østerbro - Nord;38;19;19
;;;Østerbro - Nordhavn;41;19;22
;;;Østerbro - Lyngbyvej Vest;58;32;26
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;90;45;45
;;;Østerbro - Fælled;102;45;57
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;248;100;148
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;323;149;174
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;302;140;162
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;305;142;163
;;;Nørrebro - Haraldsgade-kvarteret;132;59;73
;;;Vesterbro - Vest;156;69;87
;;;Vesterbro - Central;419;187;232
;;;Vesterbro - Øst;118;54;64
;;;Vesterbro - Syd;37;21;16
;;;Kgs. Enghave - Bavnehøj;57;32;25
;;;Kgs. Enghave - Gl. Sydhavn;203;92;111
;;;Kgs. Enghave - Holmene;114;50;64
;;;Valby - Gl. Valby;168;78;90
;;;Valby - Syd;253;126;127
;;;Valby - Ålholm;93;49;44
;;;Valby - Valby Sydvest;111;55;56
;;;Valby - Vigerslev;76;40;36
;;;Vanløse - Jyllingevej Kvarter;97;58;39
;;;Vanløse - Jernbane Allé Kvarter;140;69;71
;;;Vanløse - Sallingvej Kvarter;115;66;49
;;;Vanløse - Grøndals Park Kvarter;68;33;35
;;;Brønshøj-Husum - Husum;148;77;71
;;;Brønshøj-Husum - Husum Nord;45;23;22
;;;Brønshøj-Husum - Tingbjerg;10;..;..
;;;Brønshøj-Husum - Brønshøj;121;50;71
;;;Brønshøj-Husum - Bellahøj;29;12;17
;;;Bispebjerg - Emdrup;56;24;32
;;;Bispebjerg- Ryparken-Lundehus;63;29;34
;;;Bispebjerg - Bispebjerg;74;36;38
;;;Bispebjerg - Utterslev;71;33;38
;;;Bispebjerg - Nordvest;540;276;264
;;;Amager Øst - Amagerbro Øst;328;170;158
;;;Amager Øst - Sundbyøster;176;84;92
;;;Amager Øst - Villakvartererne;161;74;87
;;;Amager Øst - Nordøstamager;85;33;52
;;;Amager Vest - Amagerbro Vest;101;42;59
;;;Amager Vest - Bryggen Syd;36;17;19
;;;Amager Vest - Faste Batteri;51;22;29
;;;Amager Vest - Gamle Bryggen;102;55;47
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);27;16;11
;;;Amager Vest - Kolonihavekvarteret;37;15;22
;;;Amager Vest - Sundbyvester;116;55;61
;;;Amager Vest - Sundholmsvejs kvarteret;132;61;71
;;;Amager Vest - Urbanplanen;38;19;19
;;;Amager Vest - Ørestad City;83;37;46
;;;Amager Vest - Ørestad Syd;86;44;42
;;Western citizenships;København i alt;1738;799;939
;;;Bydel - Indre By;128;52;76
;;;Bydel - Østerbro;132;64;68
;;;Bydel - Nørrebro;222;103;119
;;;Bydel - Vesterbro/Kongens Enghave;276;122;154
;;;Bydel - Valby;166;80;86
;;;Bydel - Vanløse;80;37;43
;;;Bydel - Brønshøj-Husum;85;42;43
;;;Bydel - Bispebjerg;202;98;104
;;;Bydel - Amager Øst;175;79;96
;;;Bydel - Amager Vest;265;116;149
;;;Lokaludvalg - Indre By;99;42;57
;;;Lokaludvalg - Christianshavn;29;10;19
;;;Lokaludvalg - Østerbro;132;64;68
;;;Lokaludvalg - Nørrebro;222;103;119
;;;Lokaludvalg - Vesterbro;123;52;71
;;;Lokaludvalg - Kgs. Enghave;153;70;83
;;;Lokaludvalg - Valby;166;80;86
;;;Lokaludvalg - Vanløse;80;37;43
;;;Lokaludvalg - Brønshøj-Husum;85;42;43
;;;Lokaludvalg - Bispebjerg;202;98;104
;;;Lokaludvalg - Amager Øst;175;79;96
;;;Lokaludvalg - Amager Vest;265;116;149
;;;Indre By - Middelalderbyen;29;15;14
;;;Indre By - Metropolzonen;9;..;..
;;;Indre By - Nansensgade-kvarteret;27;10;17
;;;Indre By - Øster Farimagsgade-kvarteret;9;4;5
;;;Indre By - Østerport;4;..;..
;;;Indre By - Frederiksstaden;17;8;9
;;;Indre By - Gammelholm og Nyhavn;4;0;4
;;;Christianshavn - Neden Vandet;..;..;..
;;;Christianshavn - Oven Vandet;12;4;8
;;;Christianshavn - Holmen og Refshaleøen;10;..;..
;;;Østerbro - Nord/Komponistkvarteret;..;..;..
;;;Østerbro - Svanemøllen Syd/Øst;17;8;9
;;;Østerbro - Århusgade Nord;13;7;6
;;;Østerbro - Århusgade Syd;16;8;8
;;;Østerbro - Rosenvænget;12;..;..
;;;Østerbro - Ny Ryvang;3;3;0
;;;Østerbro - Nord;7;3;4
;;;Østerbro - Nordhavn;6;..;..
;;;Østerbro - Lyngbyvej Vest;18;9;9
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;14;5;9
;;;Østerbro - Fælled;14;6;8
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;34;19;15
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;57;25;32
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;49;23;26
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;60;28;32
;;;Nørrebro - Haraldsgade-kvarteret;22;8;14
;;;Vesterbro - Vest;24;6;18
;;;Vesterbro - Central;54;23;31
;;;Vesterbro - Øst;29;17;12
;;;Vesterbro - Syd;16;6;10
;;;Kgs. Enghave - Bavnehøj;14;9;5
;;;Kgs. Enghave - Gl. Sydhavn;46;15;31
;;;Kgs. Enghave - Holmene;93;46;47
;;;Valby - Gl. Valby;29;13;16
;;;Valby - Syd;56;26;30
;;;Valby - Ålholm;17;8;9
;;;Valby - Valby Sydvest;49;23;26
;;;Valby - Vigerslev;15;10;5
;;;Vanløse - Jyllingevej Kvarter;17;7;10
;;;Vanløse - Jernbane Allé Kvarter;33;15;18
;;;Vanløse - Sallingvej Kvarter;15;7;8
;;;Vanløse - Grøndals Park Kvarter;15;..;..
;;;Brønshøj-Husum - Husum;26;12;14
;;;Brønshøj-Husum - Husum Nord;22;9;13
;;;Brønshøj-Husum - Tingbjerg;14;..;..
;;;Brønshøj-Husum - Brønshøj;18;12;6
;;;Brønshøj-Husum - Bellahøj;5;..;..
;;;Bispebjerg - Emdrup;7;4;3
;;;Bispebjerg- Ryparken-Lundehus;17;7;10
;;;Bispebjerg - Bispebjerg;23;8;15
;;;Bispebjerg - Utterslev;14;9;5
;;;Bispebjerg - Nordvest;141;70;71
;;;Amager Øst - Amagerbro Øst;77;34;43
;;;Amager Øst - Sundbyøster;40;18;22
;;;Amager Øst - Villakvartererne;26;8;18
;;;Amager Øst - Nordøstamager;32;19;13
;;;Amager Vest - Amagerbro Vest;13;4;9
;;;Amager Vest - Bryggen Syd;11;4;7
;;;Amager Vest - Faste Batteri;22;..;..
;;;Amager Vest - Gamle Bryggen;13;6;7
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);8;5;3
;;;Amager Vest - Kolonihavekvarteret;16;11;5
;;;Amager Vest - Sundbyvester;27;12;15
;;;Amager Vest - Sundholmsvejs kvarteret;21;10;11
;;;Amager Vest - Urbanplanen;15;6;9
;;;Amager Vest - Ørestad City;51;19;32
;;;Amager Vest - Ørestad Syd;68;28;40
;;Non-Western citizenships;København i alt;2483;1239;1244
;;;Bydel - Indre By;81;43;38
;;;Bydel - Østerbro;171;82;89
;;;Bydel - Nørrebro;341;175;166
;;;Bydel - Vesterbro/Kongens Enghave;268;126;142
;;;Bydel - Valby;318;159;159
;;;Bydel - Vanløse;99;52;47
;;;Bydel - Brønshøj-Husum;316;151;165
;;;Bydel - Bispebjerg;363;199;164
;;;Bydel - Amager Øst;187;83;104
;;;Bydel - Amager Vest;311;143;168
;;;Lokaludvalg - Indre By;59;30;29
;;;Lokaludvalg - Christianshavn;22;13;9
;;;Lokaludvalg - Østerbro;171;82;89
;;;Lokaludvalg - Nørrebro;341;175;166
;;;Lokaludvalg - Vesterbro;119;58;61
;;;Lokaludvalg - Kgs. Enghave;149;68;81
;;;Lokaludvalg - Valby;318;159;159
;;;Lokaludvalg - Vanløse;99;52;47
;;;Lokaludvalg - Brønshøj-Husum;316;151;165
;;;Lokaludvalg - Bispebjerg;363;199;164
;;;Lokaludvalg - Amager Øst;187;83;104
;;;Lokaludvalg - Amager Vest;311;143;168
;;;Indre By - Middelalderbyen;11;7;4
;;;Indre By - Metropolzonen;3;..;..
;;;Indre By - Nansensgade-kvarteret;11;6;5
;;;Indre By - Øster Farimagsgade-kvarteret;17;7;10
;;;Indre By - Østerport;0;0;0
;;;Indre By - Frederiksstaden;14;9;5
;;;Indre By - Gammelholm og Nyhavn;3;0;3
;;;Christianshavn - Neden Vandet;..;..;..
;;;Christianshavn - Oven Vandet;14;11;3
;;;Christianshavn - Holmen og Refshaleøen;6;..;..
